perturbation_family,noise_level,geometry_score_vs_noise,hostile_control_gap_vs_noise,nearest_neighbor_recall_vs_noise,rank_order_stability_vs_noise,threshold_graph_jaccard_vs_noise,distance_stress_vs_noise,loop_flux_rms_vs_phase_noise,magnetic_laplacian_low_eigenvalue_shift_vs_noise,spectral_gap_shift_vs_noise,breakdown_condition_met,breakdown_reasons
magnitude_gaussian_noise_sweep,0.0,1.0,0.475137631081,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False,
magnitude_multiplicative_noise_sweep,0.0,1.0,0.475137631081,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False,
rank_order_near_degeneracy_perturbation,0.0,1.0,0.475137631081,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False,
magnitude_gaussian_noise_sweep,0.02,0.840926859636,0.316064490717,0.6875,0.916324728089,1.0,0.119013372513,0.0,0.129159746272,-0.129159746272,True,nearest_neighbor_recall
magnitude_multiplicative_noise_sweep,0.02,0.902165847248,0.377303478329,0.826388888889,0.923319958614,1.0,0.092617680517,0.0,0.087947138422,-0.087947138422,False,
rank_order_near_degeneracy_perturbation,0.02,0.997737046103,0.472874677184,1.0,0.954652131123,1.0,0.006827149137,0.0,0.018609729832,0.017274472458,False,
magnitude_gaussian_noise_sweep,0.05,0.679526978149,0.15466460923,0.520833333333,0.839659827895,1.0,0.295303688174,0.0,0.237388051558,-0.237388051558,True,geometry_score;nearest_neighbor_recall
magnitude_multiplicative_noise_sweep,0.05,0.706442851186,0.181580482267,0.493055555556,0.863103439574,1.0,0.237066636414,0.0,0.211024952429,-0.211024952429,True,geometry_score;nearest_neighbor_recall
rank_order_near_degeneracy_perturbation,0.05,0.994347248199,0.46948487928,1.0,0.955823049941,1.0,0.017195696975,0.0,0.048231658675,0.045784391238,False,
magnitude_gaussian_noise_sweep,0.1,0.502360685001,-0.022501683918,0.368055555556,0.772170489818,1.0,0.551606382096,0.0,0.572123911468,-0.572123911468,True,geometry_score;nearest_neighbor_recall;distance_stress;hostile_control_gap
magnitude_multiplicative_noise_sweep,0.1,0.550075174396,0.025212805477,0.361111111111,0.796189466778,1.0,0.453037690678,0.0,0.446712420022,-0.446712420022,True,geometry_score;nearest_neighbor_recall;distance_stress;hostile_control_gap
rank_order_near_degeneracy_perturbation,0.1,0.988929264439,0.46406689552,1.0,0.955727155727,1.0,0.034083393419,0.0,0.09742897828,0.089796646563,False,
magnitude_gaussian_noise_sweep,0.2,0.339033747436,-0.185828621483,0.25,0.729119035001,0.992063492063,1.141739932199,0.0,2.446491524587,-2.446491524587,True,geometry_score;nearest_neighbor_recall;rank_order_stability;distance_stress;magnetic_low_eigenvalue_shift;hostile_control_gap
magnitude_multiplicative_noise_sweep,0.2,0.419533610432,-0.105328758487,0.326388888889,0.74990284402,1.0,0.803417851738,0.0,1.804829188051,-1.804829188051,True,geometry_score;nearest_neighbor_recall;rank_order_stability;distance_stress;magnetic_low_eigenvalue_shift;hostile_control_gap
rank_order_near_degeneracy_perturbation,0.2,0.978068669454,0.453206300535,1.0,0.953975824564,1.0,0.068976446252,0.0,0.200007219939,0.180139310626,False,
magnitude_gaussian_noise_sweep,0.35,0.13216978672,-0.392692582199,0.131944444444,0.698998157822,0.887301587302,5.128438912321,0.0,6.352453106793,-6.352453106793,True,geometry_score;nearest_neighbor_recall;rank_order_stability;distance_stress;magnetic_low_eigenvalue_shift;hostile_control_gap
magnitude_multiplicative_noise_sweep,0.35,0.288273627051,-0.236588741868,0.1875,0.717268529033,0.992063492063,1.225848474735,0.0,2.622137106768,-2.622137106768,True,geometry_score;nearest_neighbor_recall;rank_order_stability;distance_stress;magnetic_low_eigenvalue_shift;hostile_control_gap
rank_order_near_degeneracy_perturbation,0.35,0.962588406261,0.437726037342,1.0,0.952204305145,1.0,0.119349874228,0.0,0.329113772691,0.297196412838,False,
magnitude_gaussian_noise_sweep,0.5,0.140147094917,-0.384715274002,0.152777777778,0.701067454009,0.852380952381,7.467943595345,0.0,8.408455686554,-8.408455686554,True,geometry_score;nearest_neighbor_recall;rank_order_stability;distance_stress;magnetic_low_eigenvalue_shift;hostile_control_gap
magnitude_multiplicative_noise_sweep,0.5,0.211697308551,-0.313165060368,0.138888888889,0.698034168622,0.952380952381,1.740430593704,0.0,4.159370676081,-4.159370676081,True,geometry_score;nearest_neighbor_recall;rank_order_stability;distance_stress;magnetic_low_eigenvalue_shift;hostile_control_gap
rank_order_near_degeneracy_perturbation,0.5,0.914685857441,0.389823488522,0.909722222222,0.938395538396,1.0,0.171671901526,0.0,0.493057807969,0.46150657556,False,
magnitude_gaussian_noise_sweep,0.75,0.055736386761,-0.469125982158,0.090277777778,0.677961995609,0.734920634921,11.998596507907,0.0,11.383332839074,-11.383332839074,True,geometry_score;nearest_neighbor_recall;rank_order_stability;threshold_graph_jaccard;distance_stress;magnetic_low_eigenvalue_shift;hostile_control_gap
magnitude_multiplicative_noise_sweep,0.75,0.188173991694,-0.336688377225,0.1875,0.679390314684,0.873015873016,2.597526686483,0.0,6.79560331376,-6.79560331376,True,geometry_score;nearest_neighbor_recall;rank_order_stability;distance_stress;magnetic_low_eigenvalue_shift;hostile_control_gap
rank_order_near_degeneracy_perturbation,0.75,0.757060958019,0.2321985891,0.631944444444,0.864622605799,1.0,0.2593415764,0.0,0.697288007119,0.656992376651,True,nearest_neighbor_recall
magnitude_gaussian_noise_sweep,1.0,0.111710133732,-0.413152235187,0.166666666667,0.684477755066,0.677777777778,14.832993560681,0.0,14.865610043714,-14.865610043714,True,geometry_score;nearest_neighbor_recall;rank_order_stability;threshold_graph_jaccard;distance_stress;magnetic_low_eigenvalue_shift;hostile_control_gap
magnitude_multiplicative_noise_sweep,1.0,0.146933855282,-0.377928513637,0.131944444444,0.68729906377,0.809523809524,3.270034997289,0.0,7.126932079597,-7.126932079597,True,geometry_score;nearest_neighbor_recall;rank_order_stability;distance_stress;magnetic_low_eigenvalue_shift;hostile_control_gap
rank_order_near_degeneracy_perturbation,1.0,0.280180428444,-0.244681940475,0.090277777778,0.667731597143,1.0,0.340961359841,0.0,0.775746048871,0.696593936416,True,geometry_score;nearest_neighbor_recall;rank_order_stability;hostile_control_gap
edge_dropout_missing_correlation_perturbation,0.0,1.0,0.475137631081,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False,
edge_dropout_missing_correlation_perturbation,0.05,0.386777296281,-0.138085072638,0.958333333333,0.953642718349,0.944444444444,7.420463976962,0.0,6.019979265923,-6.019979265923,True,geometry_score;distance_stress;magnetic_low_eigenvalue_shift;hostile_control_gap
edge_dropout_missing_correlation_perturbation,0.1,0.310061753512,-0.214800615407,0.847222222222,0.874000050471,0.877777777778,11.053560480796,0.0,7.592631013225,-7.592631013225,True,geometry_score;distance_stress;magnetic_low_eigenvalue_shift;hostile_control_gap
edge_dropout_missing_correlation_perturbation,0.2,0.262959043142,-0.261903325777,0.722222222222,0.82746107452,0.803174603175,14.002646346198,0.0,11.242042853782,-11.242042853782,True,geometry_score;distance_stress;magnetic_low_eigenvalue_shift;hostile_control_gap
edge_dropout_missing_correlation_perturbation,0.35,0.229813835326,-0.295048533593,0.611111111111,0.766098871981,0.674603174603,17.986987580706,0.0,16.120662199591,-16.120662199591,True,geometry_score;nearest_neighbor_recall;threshold_graph_jaccard;distance_stress;magnetic_low_eigenvalue_shift;hostile_control_gap
edge_dropout_missing_correlation_perturbation,0.5,0.213724928756,-0.311137440163,0.527777777778,0.728684987509,0.526984126984,21.675865183492,0.0,19.387105600642,-19.387105600642,True,geometry_score;nearest_neighbor_recall;rank_order_stability;threshold_graph_jaccard;distance_stress;magnetic_low_eigenvalue_shift;hostile_control_gap
