perturbation_family,noise_level,geometry_score_vs_noise,hostile_control_gap_vs_noise,nearest_neighbor_recall_vs_noise,rank_order_stability_vs_noise,threshold_graph_jaccard_vs_noise,distance_stress_vs_noise,loop_flux_rms_vs_phase_noise,magnetic_laplacian_low_eigenvalue_shift_vs_noise,spectral_gap_shift_vs_noise,breakdown_condition_met,breakdown_reasons
phase_gaussian_noise_sweep,0.0,1.0,0.475137631081,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False,
correlated_phase_noise_sweep,0.0,1.0,0.475137631081,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False,
phase_gaussian_noise_sweep,0.02,1.0,0.475137631081,1.0,1.0,1.0,0.0,0.035553573257,0.047541836932,-0.047541836932,False,
correlated_phase_noise_sweep,0.02,1.0,0.475137631081,1.0,1.0,1.0,0.0,0.003553812801,0.002264368388,-0.002264368388,False,
phase_gaussian_noise_sweep,0.05,1.0,0.475137631081,1.0,1.0,1.0,0.0,0.089612659823,0.137006024329,-0.137006024329,False,
correlated_phase_noise_sweep,0.05,1.0,0.475137631081,1.0,1.0,1.0,0.0,0.008884532002,0.005971322338,-0.005971322338,False,
phase_gaussian_noise_sweep,0.1,1.0,0.475137631081,1.0,1.0,1.0,0.0,0.172435481429,0.375314319946,-0.375314319946,False,
correlated_phase_noise_sweep,0.1,1.0,0.475137631081,1.0,1.0,1.0,0.0,0.017769064003,0.012995730674,-0.012995730674,False,
phase_gaussian_noise_sweep,0.2,1.0,0.475137631081,1.0,1.0,1.0,0.0,0.349541076342,1.075418200167,-1.075418200167,True,magnetic_low_eigenvalue_shift
correlated_phase_noise_sweep,0.2,1.0,0.475137631081,1.0,1.0,1.0,0.0,0.035538128007,0.030319410215,-0.030319410215,False,
phase_gaussian_noise_sweep,0.35,1.0,0.475137631081,1.0,1.0,1.0,0.0,0.611552140901,2.433812580913,-2.433812580913,True,magnetic_low_eigenvalue_shift
correlated_phase_noise_sweep,0.35,1.0,0.475137631081,1.0,1.0,1.0,0.0,0.062191724012,0.064777853065,-0.064777853065,False,
phase_gaussian_noise_sweep,0.5,1.0,0.475137631081,1.0,1.0,1.0,0.0,0.805206265307,3.09158490983,-3.09158490983,True,magnetic_low_eigenvalue_shift
correlated_phase_noise_sweep,0.5,1.0,0.475137631081,1.0,1.0,1.0,0.0,0.088845320017,0.109628647464,-0.109628647464,False,
phase_gaussian_noise_sweep,0.75,1.0,0.475137631081,1.0,1.0,1.0,0.0,1.230165245839,6.258912123101,-5.026509703571,True,loop_flux_rms;magnetic_low_eigenvalue_shift
correlated_phase_noise_sweep,0.75,1.0,0.475137631081,1.0,1.0,1.0,0.0,0.133267980025,0.207565283709,-0.207565283709,False,
phase_gaussian_noise_sweep,1.0,1.0,0.475137631081,1.0,1.0,1.0,0.0,1.566748407279,10.699389691032,-6.247394040448,True,loop_flux_rms;magnetic_low_eigenvalue_shift
correlated_phase_noise_sweep,1.0,1.0,0.475137631081,1.0,1.0,1.0,0.0,0.177690640033,0.333403740003,-0.333403740003,False,
