sqlite_object_name,object_type,column_count,columns
meta_alias,table,5,alias_id|canonical_name|display_label_de|language|alias_status
meta_claim,table,4,claim_id|claim_boundary|claim_text|claim_status
meta_field,table,7,field_id|canonical_name|quantity_kind|dimension_vector|display_label_de|validation_status|claim_boundary
meta_lineage,table,9,lineage_id|dataset_id|source_id|source_path|source_sha256|lineage_hash|lineage_role|validation_status|claim_boundary
meta_unit,table,6,unit_id|unit_symbol|quantity_kind|dimension_vector|conversion_rule_id|validation_status
meta_validation_result,table,7,validation_id|validation_scope|validation_rule|validation_status|observed_value|expected_value|notes
qsb_obs_artifact,table,12,source_artifact_id|dataset_id|source_run_id|file_name|file_path|size_bytes|sha256|row_count|columns_json|lineage_role|validation_status|claim_boundary
qsb_obs_baseline_quantity,table,17,baseline_quantity_id|dataset_id|source_artifact_id|run_id|galaxy_id|quantity_kind|original_value|original_unit|calculation_value|calculation_unit|display_unit|dimension_vector|conversion_rule_id|lineage_hash|source_sha256|validation_status|claim_boundary
qsb_obs_dataset,table,6,dataset_id|run_id|canonical_name|source_reference|validation_status|claim_boundary
qsb_obs_galaxy,table,4,galaxy_id|dataset_id|source_artifact_id|validation_status
qsb_obs_massmodel_point,table,25,massmodel_point_id|dataset_id|source_artifact_id|run_id|galaxy_id|radius_kpc|vobs_km_s|vgas_km_s|vdisk_km_s|vbul_km_s|gobs_m_s2|log_gobs|gbar_m_s2|log_gbar|gbar_status|mass_to_light_assumption_required|unit_original|unit_calculation|unit_display|dimension_vector|conversion_rule_id|lineage_hash|source_sha256|validation_status|claim_boundary
qsb_obs_measurement,table,18,measurement_id|dataset_id|source_file_id|source_artifact_id|run_id|galaxy_id|quantity_id|original_value|original_unit|calculation_value|calculation_unit|display_unit|dimension_vector|conversion_rule_id|lineage_hash|source_sha256|validation_status|claim_boundary
qsb_obs_quantity_definition,table,10,quantity_id|canonical_name|quantity_kind|unit_original|unit_calculation|unit_display|dimension_vector|conversion_rule_id|validation_status|claim_boundary
qsb_obs_rar_point,table,18,rar_point_id|dataset_id|source_artifact_id|run_id|galaxy_id|gobs_m_s2|gbar_m_s2|log_gobs|log_gbar|unit_original|unit_calculation|unit_display|dimension_vector|conversion_rule_id|lineage_hash|source_sha256|validation_status|claim_boundary
qsb_obs_source_file,table,12,source_file_id|dataset_id|file_name|file_path|size_bytes|sha256|line_count|lineage_role|raw_data_status|dwh_status|validation_status|claim_boundary
qsb_run,table,7,run_id|status|created_utc|claim_boundary|residual_analysis_executed|rbci_v1_evaluated|qsb_observable_evaluated
stg_sparc_massmodels,table,13,row_id|galaxy_id|radius_kpc|vobs_km_s|vgas_km_s|vdisk_km_s_ml1|vbul_km_s_ml1|gobs_m_per_s2|log10_gobs|vbar_ml1_km_s_preparatory|gbar_status|mass_to_light_assumption_required|claim_boundary
stg_sparc_rar,table,9,row_id|log10_gbar_m_per_s2|e_log10_gbar|log10_gobs_m_per_s2|e_log10_gobs|gbar_m_per_s2|gobs_m_per_s2|source_table|claim_boundary
stg_sparc_rarbins,table,4,row_number|raw_line|source_file_id|source_sha256
stg_sparc_sample,table,4,row_number|raw_line|source_file_id|source_sha256
,,4,canonical_name|display_label_de|language|alias_status
,,8,canonical_name|display_label_de|quantity_kind|dimension_vector|unit_symbol|conversion_rule_id|validation_status|claim_boundary
,,5,record_type|record_id|search_text|validation_status|claim_boundary
,,17,baseline_quantity_id|dataset_id|source_artifact_id|run_id|galaxy_id|quantity_kind|original_value|original_unit|calculation_value|calculation_unit|display_unit|dimension_vector|conversion_rule_id|lineage_hash|source_sha256|validation_status|claim_boundary
,,8,dataset_id|source_id|source_path|source_sha256|lineage_hash|lineage_role|validation_status|claim_boundary
,,6,canonical_name|quantity_kind|dimension_vector|display_label_de|validation_status|claim_boundary
,,14,massmodel_point_id|dataset_id|galaxy_id|radius_kpc|vobs_km_s|vgas_km_s|vdisk_km_s|vbul_km_s|gobs_m_s2|log_gobs|gbar_status|mass_to_light_assumption_required|validation_status|claim_boundary
,,9,rar_point_id|dataset_id|galaxy_id|gobs_m_s2|gbar_m_s2|log_gobs|log_gbar|validation_status|claim_boundary
,,5,unit_symbol|quantity_kind|dimension_vector|conversion_rule_id|validation_status
,,6,validation_scope|validation_rule|validation_status|observed_value|expected_value|notes
