schema_name,table_name,row_count,status
admin,etl_run,1,verified
admin,etl_step,1,verified
admin,migration_log,0,verified
admin,qsb_connection_test,1,verified
admin,schema_version,0,verified
admin,single_dwh_policy,1,verified
canonical,obs_artifact,17,verified
canonical,obs_baseline_quantity,6085,verified
canonical,obs_dataset,1,verified
canonical,obs_galaxy,175,verified
canonical,obs_massmodel_point,3392,verified
canonical,obs_measurement,0,verified
canonical,obs_quantity_definition,29,verified
canonical,obs_rar_point,2693,verified
canonical,obs_source_file,4,verified
metadata,meta_alias,29,verified
metadata,meta_claim,16,verified
metadata,meta_field,29,verified
metadata,meta_lineage,21,verified
metadata,meta_unit,7,verified
raw,raw_checksum,4,verified
raw,raw_claim_boundary,16,verified
raw,source_artifact,17,verified
raw,source_file,4,verified
staging,sparc_artifact_registry,17,verified
staging,sparc_massmodels_baseline,3392,verified
staging,sparc_rar_direct,2693,verified
staging,sparc_source_file_registry,4,verified
validation,claim_boundary,16,verified
validation,data_quality_flag,0,verified
validation,validation_result,12,verified
