object_name,object_type,row_count
admin.etl_run,postgres_table,1
admin.etl_step,postgres_table,1
admin.migration_log,postgres_table,0
admin.qsb_connection_test,postgres_table,1
admin.schema_version,postgres_table,0
admin.single_dwh_policy,postgres_table,1
canonical.obs_artifact,postgres_table,17
canonical.obs_baseline_quantity,postgres_table,6085
canonical.obs_dataset,postgres_table,1
canonical.obs_galaxy,postgres_table,175
canonical.obs_massmodel_point,postgres_table,3392
canonical.obs_measurement,postgres_table,0
canonical.obs_quantity_definition,postgres_table,29
canonical.obs_rar_point,postgres_table,2693
canonical.obs_source_file,postgres_table,4
metadata.meta_alias,postgres_table,29
metadata.meta_claim,postgres_table,16
metadata.meta_field,postgres_table,29
metadata.meta_lineage,postgres_table,21
metadata.meta_unit,postgres_table,7
raw.raw_checksum,postgres_table,4
raw.raw_claim_boundary,postgres_table,16
raw.source_artifact,postgres_table,17
raw.source_file,postgres_table,4
staging.sparc_artifact_registry,postgres_table,17
staging.sparc_massmodels_baseline,postgres_table,3392
staging.sparc_rar_direct,postgres_table,2693
staging.sparc_source_file_registry,postgres_table,4
validation.claim_boundary,postgres_table,16
validation.data_quality_flag,postgres_table,0
validation.validation_result,postgres_table,12
