section,field_1,field_2,field_3,field_4,notes
sparc_rar_artifact_samples,unknown,other,.yaml,numerics/debroglie-phase-bridge/typ_b_analysis/configs/h3/h3_package_hierarchy_check_01.yaml,domain_guess=unknown; artifact_kind=other; suffix=.yaml; relative_path=numerics/debroglie-phase-bridge/typ_b_analysis/configs/h3/h3_package_hierarchy_check_01.yaml
sparc_rar_artifact_samples,unknown,python_script,.py,numerics/debroglie-phase-bridge/typ_b_analysis/src/run_h3_package_hierarchy_check_01.py,domain_guess=unknown; artifact_kind=python_script; suffix=.py; relative_path=numerics/debroglie-phase-bridge/typ_b_analysis/src/run_h3_package_hierarchy_check_01.py
sparc_rar_artifact_samples,sparc_rar,sql_script,.sql,runs/QSB-DWH-POSTGRES-CORE-MIGRATION-01/12_postgres_sparc_rar_schema.sql,domain_guess=sparc_rar; artifact_kind=sql_script; suffix=.sql; relative_path=runs/QSB-DWH-POSTGRES-CORE-MIGRATION-01/12_postgres_sparc_rar_schema.sql
sparc_rar_artifact_samples,sparc_rar,text_note,.txt,runs/QSB-SPARC-RAR-DWH-ETL-METADATA-REGISTRATION-01/00_git_status_short_before.txt,domain_guess=sparc_rar; artifact_kind=text_note; suffix=.txt; relative_path=runs/QSB-SPARC-RAR-DWH-ETL-METADATA-REGISTRATION-01/00_git_status_short_before.txt
sparc_rar_artifact_samples,sparc_rar,text_note,.txt,runs/QSB-SPARC-RAR-DWH-ETL-METADATA-REGISTRATION-01/01_git_log_oneline_before.txt,domain_guess=sparc_rar; artifact_kind=text_note; suffix=.txt; relative_path=runs/QSB-SPARC-RAR-DWH-ETL-METADATA-REGISTRATION-01/01_git_log_oneline_before.txt
sparc_rar_artifact_samples,sparc_rar,markdown_note,.md,runs/QSB-SPARC-RAR-DWH-ETL-METADATA-REGISTRATION-01/02_dwh_etl_metadata_registration_scope.md,domain_guess=sparc_rar; artifact_kind=markdown_note; suffix=.md; relative_path=runs/QSB-SPARC-RAR-DWH-ETL-METADATA-REGISTRATION-01/02_dwh_etl_metadata_registration_scope.md
sparc_rar_artifact_samples,sparc_rar,python_script,.py,runs/QSB-SPARC-RAR-DWH-ETL-METADATA-REGISTRATION-01/03_sparc_rar_dwh_etl_metadata_registration.py,domain_guess=sparc_rar; artifact_kind=python_script; suffix=.py; relative_path=runs/QSB-SPARC-RAR-DWH-ETL-METADATA-REGISTRATION-01/03_sparc_rar_dwh_etl_metadata_registration.py
sparc_rar_artifact_samples,sparc_rar,summary_json,.json,runs/QSB-SPARC-RAR-DWH-ETL-METADATA-REGISTRATION-01/04_sparc_rar_dwh_etl_metadata_registration_summary.json,domain_guess=sparc_rar; artifact_kind=summary_json; suffix=.json; relative_path=runs/QSB-SPARC-RAR-DWH-ETL-METADATA-REGISTRATION-01/04_sparc_rar_dwh_etl_metadata_registration_summary.json
sparc_rar_artifact_samples,sparc_rar,table_csv,.csv,runs/QSB-SPARC-RAR-DWH-ETL-METADATA-REGISTRATION-01/05_input_artifact_inventory.csv,domain_guess=sparc_rar; artifact_kind=table_csv; suffix=.csv; relative_path=runs/QSB-SPARC-RAR-DWH-ETL-METADATA-REGISTRATION-01/05_input_artifact_inventory.csv
sparc_rar_artifact_samples,sparc_rar,table_csv,.csv,runs/QSB-SPARC-RAR-DWH-ETL-METADATA-REGISTRATION-01/06_checksum_revalidation.csv,domain_guess=sparc_rar; artifact_kind=table_csv; suffix=.csv; relative_path=runs/QSB-SPARC-RAR-DWH-ETL-METADATA-REGISTRATION-01/06_checksum_revalidation.csv
sparc_rar_artifact_samples,sparc_rar,table_csv,.csv,runs/QSB-SPARC-RAR-DWH-ETL-METADATA-REGISTRATION-01/07_existing_metadata_schema_discovery.csv,domain_guess=sparc_rar; artifact_kind=table_csv; suffix=.csv; relative_path=runs/QSB-SPARC-RAR-DWH-ETL-METADATA-REGISTRATION-01/07_existing_metadata_schema_discovery.csv
