section,field_1,field_2,field_3,field_4,notes
meta_field_count,29,,,,meta_field_count=29
meta_alias_count,62,,,,meta_alias_count=62
metadata_schema,meta_alias,alias_id,text,,table_name=meta_alias; column_name=alias_id; data_type=text
metadata_schema,meta_alias,canonical_name,text,,table_name=meta_alias; column_name=canonical_name; data_type=text
metadata_schema,meta_alias,display_label_de,text,,table_name=meta_alias; column_name=display_label_de; data_type=text
metadata_schema,meta_alias,language,text,,table_name=meta_alias; column_name=language; data_type=text
metadata_schema,meta_alias,alias_status,text,,table_name=meta_alias; column_name=alias_status; data_type=text
metadata_schema,meta_claim,claim_id,text,,table_name=meta_claim; column_name=claim_id; data_type=text
metadata_schema,meta_claim,claim_boundary,text,,table_name=meta_claim; column_name=claim_boundary; data_type=text
metadata_schema,meta_claim,claim_status,text,,table_name=meta_claim; column_name=claim_status; data_type=text
metadata_schema,meta_field,field_id,text,,table_name=meta_field; column_name=field_id; data_type=text
metadata_schema,meta_field,canonical_name,text,,table_name=meta_field; column_name=canonical_name; data_type=text
metadata_schema,meta_field,quantity_kind,text,,table_name=meta_field; column_name=quantity_kind; data_type=text
metadata_schema,meta_field,dimension_vector,text,,table_name=meta_field; column_name=dimension_vector; data_type=text
metadata_schema,meta_field,display_label_de,text,,table_name=meta_field; column_name=display_label_de; data_type=text
metadata_schema,meta_field,validation_status,text,,table_name=meta_field; column_name=validation_status; data_type=text
metadata_schema,meta_field,claim_boundary,text,,table_name=meta_field; column_name=claim_boundary; data_type=text
metadata_schema,meta_lineage,lineage_id,text,,table_name=meta_lineage; column_name=lineage_id; data_type=text
metadata_schema,meta_lineage,dataset_id,text,,table_name=meta_lineage; column_name=dataset_id; data_type=text
metadata_schema,meta_lineage,source_id,text,,table_name=meta_lineage; column_name=source_id; data_type=text
metadata_schema,meta_lineage,source_path,text,,table_name=meta_lineage; column_name=source_path; data_type=text
metadata_schema,meta_lineage,source_sha256,text,,table_name=meta_lineage; column_name=source_sha256; data_type=text
metadata_schema,meta_lineage,lineage_role,text,,table_name=meta_lineage; column_name=lineage_role; data_type=text
metadata_schema,meta_lineage,validation_status,text,,table_name=meta_lineage; column_name=validation_status; data_type=text
meta_field_samples,claim_boundary,claim_boundary,[dimensionless],Claim-Grenze,canonical_name=claim_boundary; quantity_kind=claim_boundary; dimension_vector=[dimensionless]; display_label_de=Claim-Grenze; validation_status=registered; claim_boundary=metadata_registration
meta_field_samples,conversion_rule_id,conversion_rule,[dimensionless],Umrechnungsregel-ID,canonical_name=conversion_rule_id; quantity_kind=conversion_rule; dimension_vector=[dimensionless]; display_label_de=Umrechnungsregel-ID; validation_status=registered; claim_boundary=metadata_registration
meta_field_samples,dataset_id,identifier,[dimensionless],Datensatz-ID,canonical_name=dataset_id; quantity_kind=identifier; dimension_vector=[dimensionless]; display_label_de=Datensatz-ID; validation_status=registered; claim_boundary=metadata_registration
meta_field_samples,dimension_vector,dimension,[dimensionless],Dimensionsvektor,canonical_name=dimension_vector; quantity_kind=dimension; dimension_vector=[dimensionless]; display_label_de=Dimensionsvektor; validation_status=registered; claim_boundary=metadata_registration
meta_field_samples,distance_mpc,distance,[L],Entfernung (Mpc),canonical_name=distance_mpc; quantity_kind=distance; dimension_vector=[L]; display_label_de=Entfernung (Mpc); validation_status=registered; claim_boundary=metadata_registration
meta_field_samples,galaxy_id,identifier,[dimensionless],Galaxien-ID,canonical_name=galaxy_id; quantity_kind=identifier; dimension_vector=[dimensionless]; display_label_de=Galaxien-ID; validation_status=registered; claim_boundary=metadata_registration
meta_field_samples,gbar_m_s2,acceleration,[L T^-2],baryonische Beschleunigung,canonical_name=gbar_m_s2; quantity_kind=acceleration; dimension_vector=[L T^-2]; display_label_de=baryonische Beschleunigung; validation_status=registered; claim_boundary=metadata_registration
meta_field_samples,gobs_m_s2,acceleration,[L T^-2],beobachtete Beschleunigung,canonical_name=gobs_m_s2; quantity_kind=acceleration; dimension_vector=[L T^-2]; display_label_de=beobachtete Beschleunigung; validation_status=registered; claim_boundary=metadata_registration
meta_field_samples,lineage_hash,lineage,[dimensionless],Lineage-Hash,canonical_name=lineage_hash; quantity_kind=lineage; dimension_vector=[dimensionless]; display_label_de=Lineage-Hash; validation_status=registered; claim_boundary=metadata_registration
meta_field_samples,log_gbar,dimensionless_log_quantity,[dimensionless],Log baryonische Beschleunigung,canonical_name=log_gbar; quantity_kind=dimensionless_log_quantity; dimension_vector=[dimensionless]; display_label_de=Log baryonische Beschleunigung; validation_status=registered; claim_boundary=metadata_registration
meta_field_samples,log_gobs,dimensionless_log_quantity,[dimensionless],Log beobachtete Beschleunigung,canonical_name=log_gobs; quantity_kind=dimensionless_log_quantity; dimension_vector=[dimensionless]; display_label_de=Log beobachtete Beschleunigung; validation_status=registered; claim_boundary=metadata_registration
meta_field_samples,massmodel_point_id,identifier,[dimensionless],MassModel-Punkt-ID,canonical_name=massmodel_point_id; quantity_kind=identifier; dimension_vector=[dimensionless]; display_label_de=MassModel-Punkt-ID; validation_status=registered; claim_boundary=metadata_registration
meta_field_samples,radius_kpc,radius,[L],Radius (kpc),canonical_name=radius_kpc; quantity_kind=radius; dimension_vector=[L]; display_label_de=Radius (kpc); validation_status=registered; claim_boundary=metadata_registration
meta_field_samples,rar_point_id,identifier,[dimensionless],RAR-Punkt-ID,canonical_name=rar_point_id; quantity_kind=identifier; dimension_vector=[dimensionless]; display_label_de=RAR-Punkt-ID; validation_status=registered; claim_boundary=metadata_registration
meta_field_samples,run_id,identifier,[dimensionless],Lauf-ID,canonical_name=run_id; quantity_kind=identifier; dimension_vector=[dimensionless]; display_label_de=Lauf-ID; validation_status=registered; claim_boundary=metadata_registration
meta_field_samples,sbbul_solLum_pc2,surface_brightness,[surface_brightness_luminosity_area^-1],Bulge-Oberflächenhelligkeit,canonical_name=sbbul_solLum_pc2; quantity_kind=surface_brightness; dimension_vector=[surface_brightness_luminosity_area^-1]; display_label_de=Bulge-Oberflächenhelligkeit; validation_status=registered; claim_boundary=metadata_registration
meta_field_samples,sbdisk_solLum_pc2,surface_brightness,[surface_brightness_luminosity_area^-1],Scheiben-Oberflächenhelligkeit,canonical_name=sbdisk_solLum_pc2; quantity_kind=surface_brightness; dimension_vector=[surface_brightness_luminosity_area^-1]; display_label_de=Scheiben-Oberflächenhelligkeit; validation_status=registered; claim_boundary=metadata_registration
