section,field_1,field_2,field_3,field_4,notes
unknown_count,4285,,,,count=4285
unknown_kind_suffix_counts,table_csv,.csv,1144,,artifact_kind=table_csv; suffix=.csv; n=1144
unknown_kind_suffix_counts,markdown_note,.md,1010,,artifact_kind=markdown_note; suffix=.md; n=1010
unknown_kind_suffix_counts,json_document,.json,573,,artifact_kind=json_document; suffix=.json; n=573
unknown_kind_suffix_counts,text_note,.txt,299,,artifact_kind=text_note; suffix=.txt; n=299
unknown_kind_suffix_counts,python_script,.py,269,,artifact_kind=python_script; suffix=.py; n=269
unknown_kind_suffix_counts,run_audit,.log,245,,artifact_kind=run_audit; suffix=.log; n=245
unknown_kind_suffix_counts,other,.npz,195,,artifact_kind=other; suffix=.npz; n=195
unknown_kind_suffix_counts,summary_json,.json,191,,artifact_kind=summary_json; suffix=.json; n=191
unknown_kind_suffix_counts,other,.yaml,172,,artifact_kind=other; suffix=.yaml; n=172
unknown_kind_suffix_counts,run_audit,.yaml,38,,artifact_kind=run_audit; suffix=.yaml; n=38
unknown_kind_suffix_counts,sql_script,.sql,36,,artifact_kind=sql_script; suffix=.sql; n=36
unknown_kind_suffix_counts,,,17,,artifact_kind=; suffix=; n=17
unknown_kind_suffix_counts,sqlite_db,.db,16,,artifact_kind=sqlite_db; suffix=.db; n=16
unknown_kind_suffix_counts,other,,15,,artifact_kind=other; suffix=; n=15
unknown_kind_suffix_counts,run_audit,.png,12,,artifact_kind=run_audit; suffix=.png; n=12
unknown_kind_suffix_counts,other,.sh,8,,artifact_kind=other; suffix=.sh; n=8
unknown_kind_suffix_counts,other,.png,8,,artifact_kind=other; suffix=.png; n=8
unknown_kind_suffix_counts,sqlite_db,.sqlite,7,,artifact_kind=sqlite_db; suffix=.sqlite; n=7
unknown_kind_suffix_counts,other,.pdf,5,,artifact_kind=other; suffix=.pdf; n=5
unknown_kind_suffix_counts,run_audit,.html,3,,artifact_kind=run_audit; suffix=.html; n=3
unknown_kind_suffix_counts,run_audit,.pdf,3,,artifact_kind=run_audit; suffix=.pdf; n=3
unknown_kind_suffix_counts,other,.bak,2,,artifact_kind=other; suffix=.bak; n=2
unknown_kind_suffix_counts,raw_input,.json,2,,artifact_kind=raw_input; suffix=.json; n=2
unknown_kind_suffix_counts,run_audit,,2,,artifact_kind=run_audit; suffix=; n=2
unknown_kind_suffix_counts,run_audit,.svg,2,,artifact_kind=run_audit; suffix=.svg; n=2
unknown_kind_suffix_counts,other,.sha256,2,,artifact_kind=other; suffix=.sha256; n=2
unknown_kind_suffix_counts,other,.toml,1,,artifact_kind=other; suffix=.toml; n=1
unknown_kind_suffix_counts,run_audit,.mmd,1,,artifact_kind=run_audit; suffix=.mmd; n=1
unknown_kind_suffix_counts,run_audit,.sqbpro,1,,artifact_kind=run_audit; suffix=.sqbpro; n=1
unknown_kind_suffix_counts,other,.par,1,,artifact_kind=other; suffix=.par; n=1
unknown_kind_suffix_counts,run_audit,.pyz,1,,artifact_kind=run_audit; suffix=.pyz; n=1
unknown_kind_suffix_counts,run_audit,.patch,1,,artifact_kind=run_audit; suffix=.patch; n=1
unknown_kind_suffix_counts,other,.tim,1,,artifact_kind=other; suffix=.tim; n=1
unknown_kind_suffix_counts,other,.cff,1,,artifact_kind=other; suffix=.cff; n=1
unknown_kind_suffix_counts,other,.docx,1,,artifact_kind=other; suffix=.docx; n=1
unknown_path_samples,data/baseline_relational_table.csv,,,,relative_path=data/baseline_relational_table.csv
unknown_path_samples,data/baseline_relational_table_real.csv,,,,relative_path=data/baseline_relational_table_real.csv
unknown_path_samples,data/bms_fu01b_c60_core_selection_config.yaml,,,,relative_path=data/bms_fu01b_c60_core_selection_config.yaml
unknown_path_samples,data/bms_fu01_c60_edges.csv,,,,relative_path=data/bms_fu01_c60_edges.csv
unknown_path_samples,data/bms_fu01_c60_faces.csv,,,,relative_path=data/bms_fu01_c60_faces.csv
unknown_path_samples,data/bms_fu01_c60_graph_manifest.json,,,,relative_path=data/bms_fu01_c60_graph_manifest.json
unknown_path_samples,data/bms_fu01_c60_nodes.csv,,,,relative_path=data/bms_fu01_c60_nodes.csv
unknown_path_samples,data/bms_fu01_c60_structure_config.yaml,,,,relative_path=data/bms_fu01_c60_structure_config.yaml
unknown_path_samples,data/bms_fu01c_c60_motif_topology_config.yaml,,,,relative_path=data/bms_fu01c_c60_motif_topology_config.yaml
unknown_path_samples,data/bms_fu02b_carrier_sharpness_config.yaml,,,,relative_path=data/bms_fu02b_carrier_sharpness_config.yaml
unknown_path_samples,data/bms_fu02c_representation_resolved_config.yaml,,,,relative_path=data/bms_fu02c_representation_resolved_config.yaml
unknown_path_samples,data/bms_fu02d1_face_parser_repair_config.yaml,,,,relative_path=data/bms_fu02d1_face_parser_repair_config.yaml
unknown_path_samples,data/bms_fu02d_carrier_role_geometry_config.yaml,,,,relative_path=data/bms_fu02d_carrier_role_geometry_config.yaml
unknown_path_samples,data/bms_fu02e1_role_balance_localization_config.yaml,,,,relative_path=data/bms_fu02e1_role_balance_localization_config.yaml
unknown_path_samples,data/bms_fu02e_carrier_role_null_localization_config.yaml,,,,relative_path=data/bms_fu02e_carrier_role_null_localization_config.yaml
unknown_path_samples,data/bms_fu02f1_face_id_interval_repair_config.yaml,,,,relative_path=data/bms_fu02f1_face_id_interval_repair_config.yaml
unknown_path_samples,data/bms_fu02f_carrier_role_visualization_config.yaml,,,,relative_path=data/bms_fu02f_carrier_role_visualization_config.yaml
unknown_path_samples,data/bms_fu02g1b_nanotube_armchair_repaired_cells.csv,,,,relative_path=data/bms_fu02g1b_nanotube_armchair_repaired_cells.csv
unknown_path_samples,data/bms_fu02g1b_nanotube_armchair_repaired_edges.csv,,,,relative_path=data/bms_fu02g1b_nanotube_armchair_repaired_edges.csv
unknown_path_samples,data/bms_fu02g1b_nanotube_armchair_repaired_manifest.json,,,,relative_path=data/bms_fu02g1b_nanotube_armchair_repaired_manifest.json
unknown_path_samples,data/bms_fu02g1b_nanotube_armchair_repaired_nodes.csv,,,,relative_path=data/bms_fu02g1b_nanotube_armchair_repaired_nodes.csv
unknown_path_samples,data/bms_fu02g1b_nanotube_topology_repair_config_resolved.yaml,,,,relative_path=data/bms_fu02g1b_nanotube_topology_repair_config_resolved.yaml
unknown_path_samples,data/bms_fu02g1b_nanotube_topology_repair_config.yaml,,,,relative_path=data/bms_fu02g1b_nanotube_topology_repair_config.yaml
unknown_path_samples,data/bms_fu02g1b_nanotube_topology_repair_inventory.csv,,,,relative_path=data/bms_fu02g1b_nanotube_topology_repair_inventory.csv
unknown_path_samples,data/bms_fu02g1b_nanotube_topology_repair_manifest.json,,,,relative_path=data/bms_fu02g1b_nanotube_topology_repair_manifest.json
unknown_path_samples,data/bms_fu02g1b_nanotube_topology_repair_warnings.json,,,,relative_path=data/bms_fu02g1b_nanotube_topology_repair_warnings.json
unknown_path_samples,data/bms_fu02g1b_nanotube_zigzag_repaired_cells.csv,,,,relative_path=data/bms_fu02g1b_nanotube_zigzag_repaired_cells.csv
unknown_path_samples,data/bms_fu02g1b_nanotube_zigzag_repaired_edges.csv,,,,relative_path=data/bms_fu02g1b_nanotube_zigzag_repaired_edges.csv
unknown_path_samples,data/bms_fu02g1b_nanotube_zigzag_repaired_manifest.json,,,,relative_path=data/bms_fu02g1b_nanotube_zigzag_repaired_manifest.json
unknown_path_samples,data/bms_fu02g1b_nanotube_zigzag_repaired_nodes.csv,,,,relative_path=data/bms_fu02g1b_nanotube_zigzag_repaired_nodes.csv
unknown_path_samples,data/bms_fu02g1_structure_inventory_config.yaml,,,,relative_path=data/bms_fu02g1_structure_inventory_config.yaml
unknown_path_samples,data/bms_fu02g2_carrier_diagnostic_transfer_config.yaml,,,,relative_path=data/bms_fu02g2_carrier_diagnostic_transfer_config.yaml
unknown_path_samples,data/bms_fu02g3_real_structure_memory_null_config.yaml,,,,relative_path=data/bms_fu02g3_real_structure_memory_null_config.yaml
unknown_path_samples,data/bms_fu02g4b_exhaustive_connected_patch_signature_config.yaml,,,,relative_path=data/bms_fu02g4b_exhaustive_connected_patch_signature_config.yaml
unknown_path_samples,data/bms_fu02g4c_full_raw_order_replay_certification_preflight_config.yaml,,,,relative_path=data/bms_fu02g4c_full_raw_order_replay_certification_preflight_config.yaml
unknown_path_samples,data/bms_fu02g4c_full_raw_order_replay_stage1_disabled_run_config.yaml,,,,relative_path=data/bms_fu02g4c_full_raw_order_replay_stage1_disabled_run_config.yaml
unknown_path_samples,data/bms_fu02g4c_full_raw_order_replay_stage2_candidate_008_disabled_smoke_config.yaml,,,,relative_path=data/bms_fu02g4c_full_raw_order_replay_stage2_candidate_008_disabled_smoke_config.yaml
unknown_path_samples,data/bms_fu02g4c_full_raw_order_replay_stage3_disabled_full_replay_config.yaml,,,,relative_path=data/bms_fu02g4c_full_raw_order_replay_stage3_disabled_full_replay_config.yaml
unknown_path_samples,data/bms_fu02g4c_inspect_window_26179015_26180015.yaml,,,,relative_path=data/bms_fu02g4c_inspect_window_26179015_26180015.yaml
unknown_path_samples,data/bms_fu02g4c_inspect_window_26179015_26189015.yaml,,,,relative_path=data/bms_fu02g4c_inspect_window_26179015_26189015.yaml
unknown_path_samples,data/bms_fu02g4c_inspect_window_26179015_26279015.yaml,,,,relative_path=data/bms_fu02g4c_inspect_window_26179015_26279015.yaml
unknown_path_samples,data/bms_fu02g4c_inspect_window_26180015_26181015.yaml,,,,relative_path=data/bms_fu02g4c_inspect_window_26180015_26181015.yaml
