object_name,row_count
admin.dataset_registry,6
admin.etl_run,2
admin.etl_step,2
admin.migration_log,0
admin.qsb_connection_test,1
admin.schema_version,0
admin.single_dwh_policy,1
canonical.causality_artifact,0
canonical.causality_transition,0
canonical.interface01_artifact,0
canonical.interface01_feature,0
canonical.matrix_topology_component,0
canonical.matrix_topology_edge,0
canonical.matrix_topology_metric,0
canonical.obs_artifact,17
canonical.obs_baseline_quantity,6085
canonical.obs_dataset,1
canonical.obs_galaxy,175
canonical.obs_massmodel_point,3392
canonical.obs_measurement,0
canonical.obs_quantity_definition,29
canonical.obs_rar_point,2693
canonical.obs_source_file,4
canonical.qsb_artifact,9324
canonical.qsb_claim_boundary_event,15
canonical.qsb_run,278
canonical.qsb_run_summary,0
canonical.qsb_validation_event,0
canonical.relalg_artifact,0
canonical.relalg_metric,0
metadata.meta_alias,62
metadata.meta_claim,16
metadata.meta_dataset,6
metadata.meta_field,29
metadata.meta_lineage,21
metadata.meta_search_token,97974
metadata.meta_unit,7
metadata.meta_view,0
raw.git_commit_reference,0
raw.raw_checksum,9328
raw.raw_claim_boundary,16
raw.run_folder,278
raw.source_artifact,9341
raw.source_file,9328
server.metadata_server_config,1
server.metadata_server_endpoint,7
staging.artifact_column_profile,33875
staging.causality_summary,0
staging.csv_row_json,100000
staging.interface01_summary,0
staging.json_document,1945
staging.json_key_value,50100
staging.markdown_document,2105
staging.matrix_topology_edge_candidate,0
staging.matrix_topology_summary,0
staging.relalg_summary,0
staging.sparc_artifact_registry,17
staging.sparc_massmodels_baseline,3392
staging.sparc_rar_direct,2693
staging.sparc_source_file_registry,4
staging.sqlite_row_count,2570
staging.sqlite_table_inventory,2570
validation.claim_boundary,31
validation.data_quality_flag,0
validation.ingest_warning,3441
validation.no_go_boundary,11
validation.validation_result,12
