section,field_1,field_2,field_3,field_4,notes
domain_guess_counts,unknown,4268,,,domain_guess=unknown; artifact_count=4268
domain_guess_counts,causality,2090,,,domain_guess=causality; artifact_count=2090
domain_guess_counts,extract03,1242,,,domain_guess=extract03; artifact_count=1242
domain_guess_counts,interface01,740,,,domain_guess=interface01; artifact_count=740
domain_guess_counts,metadata,361,,,domain_guess=metadata; artifact_count=361
domain_guess_counts,relalg,301,,,domain_guess=relalg; artifact_count=301
domain_guess_counts,matrix_topology,186,,,domain_guess=matrix_topology; artifact_count=186
domain_guess_counts,sparc_rar,136,,,domain_guess=sparc_rar; artifact_count=136
domain_guess_counts,,17,,,domain_guess=; artifact_count=17
artifact_kind_counts,table_csv,3616,,,artifact_kind=table_csv; artifact_count=3616
artifact_kind_counts,markdown_note,1755,,,artifact_kind=markdown_note; artifact_count=1755
artifact_kind_counts,json_document,1261,,,artifact_kind=json_document; artifact_count=1261
artifact_kind_counts,summary_json,678,,,artifact_kind=summary_json; artifact_count=678
artifact_kind_counts,other,593,,,artifact_kind=other; artifact_count=593
artifact_kind_counts,python_script,524,,,artifact_kind=python_script; artifact_count=524
artifact_kind_counts,run_audit,369,,,artifact_kind=run_audit; artifact_count=369
artifact_kind_counts,text_note,350,,,artifact_kind=text_note; artifact_count=350
artifact_kind_counts,sqlite_db,97,,,artifact_kind=sqlite_db; artifact_count=97
artifact_kind_counts,sql_script,71,,,artifact_kind=sql_script; artifact_count=71
artifact_kind_counts,,17,,,artifact_kind=; artifact_count=17
artifact_kind_counts,raw_input,10,,,artifact_kind=raw_input; artifact_count=10
suffix_counts,.csv,3616,,,suffix=.csv; artifact_count=3616
suffix_counts,.json,1945,,,suffix=.json; artifact_count=1945
suffix_counts,.md,1755,,,suffix=.md; artifact_count=1755
suffix_counts,.py,524,,,suffix=.py; artifact_count=524
suffix_counts,.txt,350,,,suffix=.txt; artifact_count=350
suffix_counts,.yaml,339,,,suffix=.yaml; artifact_count=339
suffix_counts,.log,251,,,suffix=.log; artifact_count=251
suffix_counts,.npz,195,,,suffix=.npz; artifact_count=195
suffix_counts,.sqlite,79,,,suffix=.sqlite; artifact_count=79
suffix_counts,.png,73,,,suffix=.png; artifact_count=73
suffix_counts,.sql,71,,,suffix=.sql; artifact_count=71
suffix_counts,.sh,55,,,suffix=.sh; artifact_count=55
suffix_counts,,35,,,suffix=; artifact_count=35
suffix_counts,.db,18,,,suffix=.db; artifact_count=18
suffix_counts,.pdf,8,,,suffix=.pdf; artifact_count=8
suffix_counts,.mrt,4,,,suffix=.mrt; artifact_count=4
suffix_counts,.html,3,,,suffix=.html; artifact_count=3
suffix_counts,.svg,3,,,suffix=.svg; artifact_count=3
suffix_counts,.sha256,2,,,suffix=.sha256; artifact_count=2
suffix_counts,.pyz,2,,,suffix=.pyz; artifact_count=2
suffix_counts,.bak,2,,,suffix=.bak; artifact_count=2
suffix_counts,.zip,1,,,suffix=.zip; artifact_count=1
suffix_counts,.mmd,1,,,suffix=.mmd; artifact_count=1
suffix_counts,.example,1,,,suffix=.example; artifact_count=1
suffix_counts,.dot,1,,,suffix=.dot; artifact_count=1
suffix_counts,.toml,1,,,suffix=.toml; artifact_count=1
suffix_counts,.tim,1,,,suffix=.tim; artifact_count=1
suffix_counts,.docx,1,,,suffix=.docx; artifact_count=1
suffix_counts,.cff,1,,,suffix=.cff; artifact_count=1
suffix_counts,.sqbpro,1,,,suffix=.sqbpro; artifact_count=1
suffix_counts,.par,1,,,suffix=.par; artifact_count=1
suffix_counts,.patch,1,,,suffix=.patch; artifact_count=1
review_note,domain visibility,reviewed,,,Counts are artifact-level inventory only; no semantic interpretation is made.
