section,field_1,field_2,field_3,field_4,notes
markdown_document_count,2105,,,,markdown_documents=2105
markdown_samples,data/OUTREACH01A-06/source_inventory.md,OUTREACH01A-06 Source Inventory,# OUTREACH01A-06 Source Inventory| Source | Type | Purpose | Public | Checked date | Notes ||---|---|---|---|---|---|| https://www.uni-muenster.de/Physik.TP/en/research/gurevich/forschungsgebiete.,,relative_path=data/OUTREACH01A-06/source_inventory.md; title=OUTREACH01A-06 Source Inventory; preview=# OUTREACH01A-06 Source Inventory| Source | Type | Purpose | Public | Checked date | Notes ||---|---|---|---|---|---|| https://www.uni-muenster.de/Physik.TP/en/research/gurevich/forschungsgebiete.
markdown_samples,data/OUTREACH01A-DTC-DEMO01/FIELD_LIST.md,OUTREACH01A-DTC-DEMO01 Field List,# OUTREACH01A-DTC-DEMO01 Field List| Field Path | Canonical Field Name | German Alias | Type | Required | Description ||---|---|---|---|---|---|| `record_id` | `record_id` | Record-ID | string | y,,relative_path=data/OUTREACH01A-DTC-DEMO01/FIELD_LIST.md; title=OUTREACH01A-DTC-DEMO01 Field List; preview=# OUTREACH01A-DTC-DEMO01 Field List| Field Path | Canonical Field Name | German Alias | Type | Required | Description ||---|---|---|---|---|---|| `record_id` | `record_id` | Record-ID | string | y
markdown_samples,data/OUTREACH01A-DTC-DEMO01/compact_contact_table_en.md,Compact Contact Table — English Presentation View,# Compact Contact Table — English Presentation View| Record ID | Record type | State class | Dynamic equivalence | Phase shift | Domain | Boundary role | Evidence status ||---|---|---|---|---|---|-,,relative_path=data/OUTREACH01A-DTC-DEMO01/compact_contact_table_en.md; title=Compact Contact Table — English Presentation View; preview=# Compact Contact Table — English Presentation View| Record ID | Record type | State class | Dynamic equivalence | Phase shift | Domain | Boundary role | Evidence status ||---|---|---|---|---|---|-
markdown_samples,data/OUTREACH01A-DTC-DEMO01/compact_contact_table_es.md,Tabla compacta de contacto — Vista de presentación en español,# Tabla compacta de contacto — Vista de presentación en español| ID del registro | Tipo de registro | Clase de estado | Equivalencia dinámica | Desfase | Dominio | Función de la frontera | Estado de,,relative_path=data/OUTREACH01A-DTC-DEMO01/compact_contact_table_es.md; title=Tabla compacta de contacto — Vista de presentación en español; preview=# Tabla compacta de contacto — Vista de presentación en español| ID del registro | Tipo de registro | Clase de estado | Equivalencia dinámica | Desfase | Dominio | Función de la frontera | Estado de
markdown_samples,data/OUTREACH01A-DTC-DEMO01/contact_figure_content_spec.md,OUTREACH01A-DTC-DEMO01 Contact Figure Content Specification,"# OUTREACH01A-DTC-DEMO01 Contact Figure Content Specification```textfigure_content_language_neutral = truecaption_localization_required = truesupported_caption_languages = [en, es]figure_rendere",,"relative_path=data/OUTREACH01A-DTC-DEMO01/contact_figure_content_spec.md; title=OUTREACH01A-DTC-DEMO01 Contact Figure Content Specification; preview=# OUTREACH01A-DTC-DEMO01 Contact Figure Content Specification```textfigure_content_language_neutral = truecaption_localization_required = truesupported_caption_languages = [en, es]figure_rendere"
markdown_samples,data/QSB-BRIDGE-DATA-01/README.md,QSB-BRIDGE-DATA-01 Data Preflight Inputs,# QSB-BRIDGE-DATA-01 Data Preflight InputsThis directory contains static preflight declarations for QSB-BRIDGE-DATA-01.No external data are bundled here. No data are downloaded by the DATA-01 scri,,relative_path=data/QSB-BRIDGE-DATA-01/README.md; title=QSB-BRIDGE-DATA-01 Data Preflight Inputs; preview=# QSB-BRIDGE-DATA-01 Data Preflight InputsThis directory contains static preflight declarations for QSB-BRIDGE-DATA-01.No external data are bundled here. No data are downloaded by the DATA-01 scri
markdown_samples,data/QSB-BRIDGE-DATA-02A/README.md,QSB-BRIDGE-DATA-02A Data Scaffold Inputs,# QSB-BRIDGE-DATA-02A Data Scaffold InputsThis directory contains synthetic/reference-style scaffold declarations and generated tables for QSB-BRIDGE-DATA-02A.No external data are bundled here. No,,relative_path=data/QSB-BRIDGE-DATA-02A/README.md; title=QSB-BRIDGE-DATA-02A Data Scaffold Inputs; preview=# QSB-BRIDGE-DATA-02A Data Scaffold InputsThis directory contains synthetic/reference-style scaffold declarations and generated tables for QSB-BRIDGE-DATA-02A.No external data are bundled here. No
markdown_samples,data/QSB-BRIDGE-DATA-02B/README.md,QSB-BRIDGE-DATA-02B Carbon Bonding-Organization Scaffold,# QSB-BRIDGE-DATA-02B Carbon Bonding-Organization ScaffoldThis directory contains synthetic/reference-style scaffold declarations and generated tables for QSB-BRIDGE-DATA-02B.No external data are ,,relative_path=data/QSB-BRIDGE-DATA-02B/README.md; title=QSB-BRIDGE-DATA-02B Carbon Bonding-Organization Scaffold; preview=# QSB-BRIDGE-DATA-02B Carbon Bonding-Organization ScaffoldThis directory contains synthetic/reference-style scaffold declarations and generated tables for QSB-BRIDGE-DATA-02B.No external data are
markdown_samples,data/QSB-BRIDGE-DATA-02C/README.md,QSB-BRIDGE-DATA-02C Control Ensembles,# QSB-BRIDGE-DATA-02C Control EnsemblesThis directory contains synthetic/reference-style control ensemble declarations and generated tables for QSB-BRIDGE-DATA-02C.No external data are bundled her,,relative_path=data/QSB-BRIDGE-DATA-02C/README.md; title=QSB-BRIDGE-DATA-02C Control Ensembles; preview=# QSB-BRIDGE-DATA-02C Control EnsemblesThis directory contains synthetic/reference-style control ensemble declarations and generated tables for QSB-BRIDGE-DATA-02C.No external data are bundled her
markdown_samples,data/QSB-BRIDGE-DATA-02D/README.md,QSB-BRIDGE-DATA-02D Diagnostic Separation,# QSB-BRIDGE-DATA-02D Diagnostic SeparationThis directory contains the static configuration and generated data mirrors for QSB-BRIDGE-DATA-02D.DATA-02D is a synthetic/reference-style diagnostic se,,relative_path=data/QSB-BRIDGE-DATA-02D/README.md; title=QSB-BRIDGE-DATA-02D Diagnostic Separation; preview=# QSB-BRIDGE-DATA-02D Diagnostic SeparationThis directory contains the static configuration and generated data mirrors for QSB-BRIDGE-DATA-02D.DATA-02D is a synthetic/reference-style diagnostic se
