section,field_1,field_2,field_3,field_4,notes
domain_by_kind_counts,causality,table_csv,836,,domain_guess=causality; artifact_kind=table_csv; n=836
domain_by_kind_counts,causality,summary_json,397,,domain_guess=causality; artifact_kind=summary_json; n=397
domain_by_kind_counts,causality,json_document,380,,domain_guess=causality; artifact_kind=json_document; n=380
domain_by_kind_counts,causality,markdown_note,300,,domain_guess=causality; artifact_kind=markdown_note; n=300
domain_by_kind_counts,causality,other,111,,domain_guess=causality; artifact_kind=other; n=111
domain_by_kind_counts,causality,python_script,62,,domain_guess=causality; artifact_kind=python_script; n=62
domain_by_kind_counts,causality,run_audit,3,,domain_guess=causality; artifact_kind=run_audit; n=3
domain_by_kind_counts,causality,sqlite_db,1,,domain_guess=causality; artifact_kind=sqlite_db; n=1
domain_by_kind_counts,extract03,table_csv,852,,domain_guess=extract03; artifact_kind=table_csv; n=852
domain_by_kind_counts,extract03,markdown_note,176,,domain_guess=extract03; artifact_kind=markdown_note; n=176
domain_by_kind_counts,extract03,json_document,95,,domain_guess=extract03; artifact_kind=json_document; n=95
domain_by_kind_counts,extract03,run_audit,46,,domain_guess=extract03; artifact_kind=run_audit; n=46
domain_by_kind_counts,extract03,python_script,37,,domain_guess=extract03; artifact_kind=python_script; n=37
domain_by_kind_counts,extract03,summary_json,22,,domain_guess=extract03; artifact_kind=summary_json; n=22
domain_by_kind_counts,extract03,sql_script,8,,domain_guess=extract03; artifact_kind=sql_script; n=8
domain_by_kind_counts,extract03,sqlite_db,4,,domain_guess=extract03; artifact_kind=sqlite_db; n=4
domain_by_kind_counts,extract03,raw_input,2,,domain_guess=extract03; artifact_kind=raw_input; n=2
domain_by_kind_counts,interface01,table_csv,434,,domain_guess=interface01; artifact_kind=table_csv; n=434
domain_by_kind_counts,interface01,markdown_note,83,,domain_guess=interface01; artifact_kind=markdown_note; n=83
domain_by_kind_counts,interface01,python_script,68,,domain_guess=interface01; artifact_kind=python_script; n=68
domain_by_kind_counts,interface01,other,65,,domain_guess=interface01; artifact_kind=other; n=65
