view_name,status
mart.v_causality_overview,verified
mart.v_de_sparc_feldnamen,verified
mart.v_de_sparc_metadaten,verified
mart.v_interface01_overview,verified
mart.v_matrix_topology_overview,verified
mart.v_qsb_artifact_inventory,verified
mart.v_qsb_claim_boundaries,verified
mart.v_qsb_dataset_overview,verified
mart.v_qsb_dwh_status,verified
mart.v_qsb_global_search,verified
mart.v_qsb_metadata_aliases_de,verified
mart.v_qsb_metadata_fields,verified
mart.v_qsb_metadata_units,verified
mart.v_qsb_obs_search_sparc_rar,verified
mart.v_qsb_run_timeline,verified
mart.v_qsb_validation_status,verified
mart.v_relalg_overview,verified
mart.v_sparc_baseline_quantities,verified
mart.v_sparc_dataset_lineage,verified
mart.v_sparc_field_metadata,verified
mart.v_sparc_massmodels_gobs_points,verified
mart.v_sparc_rar_direct_points,verified
mart.v_sparc_unit_metadata,verified
mart.v_sparc_validation_status,verified
