trial_id,edge_count,component_count,component_sizes_sorted_desc,largest_component_size,triangle_count,connected_triple_count,closed_triple_count,open_wedge_count,global_closure_ratio,semantic_within_block_edge_count,semantic_cross_block_edge_count,all_edges_within_semantic_blocks,all_components_are_cliques,component_sizes_match_observed_pattern,complete_disjoint_clique_blocks_confirmed,matches_exact_semantic_block_edge_set
1,161,1,42,42,75,1193,225,968,0.18860016764459347,36,125,false,false,false,false,false
2,161,1,42,42,70,1147,210,937,0.18308631211857018,31,130,false,false,false,false,false
3,161,1,42,42,75,1208,225,983,0.18625827814569537,31,130,false,false,false,false,false
4,161,1,42,42,75,1185,225,960,0.189873417721519,30,131,false,false,false,false,false
5,161,1,42,42,70,1179,210,969,0.178117048346056,38,123,false,false,false,false,false
6,161,1,42,42,65,1190,195,995,0.1638655462184874,28,133,false,false,false,false,false
7,161,1,42,42,71,1160,213,947,0.18362068965517242,29,132,false,false,false,false,false
8,161,1,42,42,65,1174,195,979,0.16609880749574105,31,130,false,false,false,false,false
9,161,1,42,42,55,1160,165,995,0.14224137931034483,25,136,false,false,false,false,false
10,161,1,42,42,83,1195,249,946,0.2083682008368201,32,129,false,false,false,false,false
11,161,1,42,42,79,1213,237,976,0.1953833470733718,28,133,false,false,false,false,false
12,161,1,42,42,76,1220,228,992,0.18688524590163935,24,137,false,false,false,false,false
13,161,1,42,42,60,1162,180,982,0.1549053356282272,31,130,false,false,false,false,false
14,161,1,42,42,62,1155,186,969,0.16103896103896104,24,137,false,false,false,false,false
15,161,1,42,42,70,1205,210,995,0.17427385892116182,32,129,false,false,false,false,false
16,161,1,42,42,66,1168,198,970,0.1695205479452055,24,137,false,false,false,false,false
17,161,1,42,42,65,1179,195,984,0.16539440203562342,32,129,false,false,false,false,false
18,161,1,42,42,79,1207,237,970,0.19635459817729908,39,122,false,false,false,false,false
19,161,1,42,42,72,1208,216,992,0.17880794701986755,32,129,false,false,false,false,false
20,161,1,42,42,73,1200,219,981,0.1825,37,124,false,false,false,false,false
21,161,1,42,42,81,1242,243,999,0.1956521739130435,31,130,false,false,false,false,false
22,161,1,42,42,66,1197,198,999,0.16541353383458646,28,133,false,false,false,false,false
23,161,1,42,42,86,1211,258,953,0.21304706853839803,33,128,false,false,false,false,false
24,161,1,42,42,56,1178,168,1010,0.14261460101867574,29,132,false,false,false,false,false
25,161,1,42,42,58,1186,174,1012,0.1467116357504216,26,135,false,false,false,false,false
26,161,1,42,42,78,1188,234,954,0.19696969696969696,34,127,false,false,false,false,false
27,161,1,42,42,63,1168,189,979,0.1618150684931507,17,144,false,false,false,false,false
