trial_id,edge_count,component_count,component_sizes_sorted_desc,largest_component_size,triangle_count,connected_triple_count,closed_triple_count,open_wedge_count,global_closure_ratio,semantic_within_block_edge_count,semantic_cross_block_edge_count,all_edges_within_semantic_blocks,all_components_are_cliques,component_sizes_match_observed_pattern,complete_disjoint_clique_blocks_confirmed,matches_exact_semantic_block_edge_set,accepted_swaps
1,161,1,42,42,78,1260,234,1026,0.18571428571428572,43,118,false,false,false,false,false,2814
2,161,1,42,42,101,1260,303,957,0.24047619047619048,42,119,false,false,false,false,false,2845
3,161,1,42,42,91,1260,273,987,0.21666666666666667,41,120,false,false,false,false,false,2909
4,161,1,42,42,81,1260,243,1017,0.19285714285714287,45,116,false,false,false,false,false,2820
5,161,1,42,42,85,1260,255,1005,0.20238095238095238,44,117,false,false,false,false,false,2914
6,161,1,42,42,77,1260,231,1029,0.18333333333333332,33,128,false,false,false,false,false,2851
7,161,1,42,42,91,1260,273,987,0.21666666666666667,48,113,false,false,false,false,false,2821
8,161,1,42,42,85,1260,255,1005,0.20238095238095238,46,115,false,false,false,false,false,2860
9,161,1,42,42,81,1260,243,1017,0.19285714285714287,46,115,false,false,false,false,false,2828
10,161,1,42,42,103,1260,309,951,0.24523809523809523,41,120,false,false,false,false,false,2847
11,161,1,42,42,92,1260,276,984,0.21904761904761905,46,115,false,false,false,false,false,2919
12,161,1,42,42,91,1260,273,987,0.21666666666666667,45,116,false,false,false,false,false,2908
13,161,1,42,42,85,1260,255,1005,0.20238095238095238,37,124,false,false,false,false,false,2888
14,161,1,42,42,95,1260,285,975,0.2261904761904762,36,125,false,false,false,false,false,2855
15,161,1,42,42,81,1260,243,1017,0.19285714285714287,36,125,false,false,false,false,false,2817
16,161,1,42,42,90,1260,270,990,0.21428571428571427,45,116,false,false,false,false,false,2838
17,161,1,42,42,97,1260,291,969,0.23095238095238096,52,109,false,false,false,false,false,2865
18,161,1,42,42,88,1260,264,996,0.20952380952380953,49,112,false,false,false,false,false,2857
19,161,1,42,42,84,1260,252,1008,0.2,37,124,false,false,false,false,false,2839
20,161,1,42,42,79,1260,237,1023,0.1880952380952381,37,124,false,false,false,false,false,2852
21,161,1,42,42,85,1260,255,1005,0.20238095238095238,40,121,false,false,false,false,false,2864
22,161,1,42,42,101,1260,303,957,0.24047619047619048,37,124,false,false,false,false,false,2797
23,161,1,42,42,96,1260,288,972,0.22857142857142856,38,123,false,false,false,false,false,2915
24,161,1,42,42,82,1260,246,1014,0.19523809523809524,48,113,false,false,false,false,false,2879
25,161,1,42,42,85,1260,255,1005,0.20238095238095238,40,121,false,false,false,false,false,2818
26,161,1,42,42,88,1260,264,996,0.20952380952380953,41,120,false,false,false,false,false,2801
27,161,1,42,42,83,1260,249,1011,0.1976190476190476,46,115,false,false,false,false,false,2819
28,161,1,42,42,101,1260,303,957,0.24047619047619048,42,119,false,false,false,false,false,2901
29,161,1,42,42,83,1260,249,1011,0.1976190476190476,46,115,false,false,false,false,false,2838
30,161,1,42,42,93,1260,279,981,0.22142857142857142,43,118,false,false,false,false,false,2915
31,161,1,42,42,85,1260,255,1005,0.20238095238095238,37,124,false,false,false,false,false,2831
32,161,1,42,42,82,1260,246,1014,0.19523809523809524,35,126,false,false,false,false,false,2878
33,161,1,42,42,83,1260,249,1011,0.1976190476190476,43,118,false,false,false,false,false,2802
34,161,1,42,42,89,1260,267,993,0.2119047619047619,43,118,false,false,false,false,false,2931
35,161,1,42,42,87,1260,261,999,0.20714285714285716,42,119,false,false,false,false,false,2833
36,161,1,42,42,84,1260,252,1008,0.2,43,118,false,false,false,false,false,2860
37,161,1,42,42,84,1260,252,1008,0.2,46,115,false,false,false,false,false,2889
38,161,1,42,42,91,1260,273,987,0.21666666666666667,46,115,false,false,false,false,false,2886
39,161,1,42,42,100,1260,300,960,0.23809523809523808,37,124,false,false,false,false,false,2833
40,161,1,42,42,89,1260,267,993,0.2119047619047619,47,114,false,false,false,false,false,2820
41,161,1,42,42,77,1260,231,1029,0.18333333333333332,41,120,false,false,false,false,false,2902
42,161,1,42,42,90,1260,270,990,0.21428571428571427,39,122,false,false,false,false,false,2822
43,161,1,42,42,71,1260,213,1047,0.16904761904761906,43,118,false,false,false,false,false,2895
44,161,1,42,42,83,1260,249,1011,0.1976190476190476,46,115,false,false,false,false,false,2883
45,161,1,42,42,82,1260,246,1014,0.19523809523809524,49,112,false,false,false,false,false,2804
46,161,1,42,42,84,1260,252,1008,0.2,41,120,false,false,false,false,false,2908
47,161,1,42,42,98,1260,294,966,0.23333333333333334,45,116,false,false,false,false,false,2838
48,161,1,42,42,90,1260,270,990,0.21428571428571427,39,122,false,false,false,false,false,2887
49,161,1,42,42,78,1260,234,1026,0.18571428571428572,52,109,false,false,false,false,false,2853
50,161,1,42,42,88,1260,264,996,0.20952380952380953,37,124,false,false,false,false,false,2876
51,161,1,42,42,96,1260,288,972,0.22857142857142856,42,119,false,false,false,false,false,2870
52,161,1,42,42,82,1260,246,1014,0.19523809523809524,45,116,false,false,false,false,false,2805
53,161,1,42,42,88,1260,264,996,0.20952380952380953,41,120,false,false,false,false,false,2849
54,161,1,42,42,81,1260,243,1017,0.19285714285714287,40,121,false,false,false,false,false,2814
55,161,1,42,42,87,1260,261,999,0.20714285714285716,46,115,false,false,false,false,false,2842
56,161,1,42,42,92,1260,276,984,0.21904761904761905,43,118,false,false,false,false,false,2782
57,161,1,42,42,83,1260,249,1011,0.1976190476190476,42,119,false,false,false,false,false,2856
58,161,1,42,42,97,1260,291,969,0.23095238095238096,52,109,false,false,false,false,false,2802
59,161,1,42,42,93,1260,279,981,0.22142857142857142,48,113,false,false,false,false,false,2841
60,161,1,42,42,85,1260,255,1005,0.20238095238095238,46,115,false,false,false,false,false,2851
61,161,1,42,42,86,1260,258,1002,0.20476190476190476,37,124,false,false,false,false,false,2904
62,161,1,42,42,74,1260,222,1038,0.1761904761904762,36,125,false,false,false,false,false,2800
63,161,1,42,42,90,1260,270,990,0.21428571428571427,41,120,false,false,false,false,false,2882
64,161,1,42,42,85,1260,255,1005,0.20238095238095238,43,118,false,false,false,false,false,2839
65,161,1,42,42,86,1260,258,1002,0.20476190476190476,44,117,false,false,false,false,false,2915
66,161,1,42,42,88,1260,264,996,0.20952380952380953,46,115,false,false,false,false,false,2834
67,161,1,42,42,81,1260,243,1017,0.19285714285714287,44,117,false,false,false,false,false,2869
68,161,1,42,42,82,1260,246,1014,0.19523809523809524,36,125,false,false,false,false,false,2877
69,161,1,42,42,87,1260,261,999,0.20714285714285716,37,124,false,false,false,false,false,2824
70,161,1,42,42,94,1260,282,978,0.22380952380952382,51,110,false,false,false,false,false,2793
71,161,1,42,42,80,1260,240,1020,0.19047619047619047,43,118,false,false,false,false,false,2879
72,161,1,42,42,79,1260,237,1023,0.1880952380952381,37,124,false,false,false,false,false,2838
73,161,1,42,42,93,1260,279,981,0.22142857142857142,45,116,false,false,false,false,false,2884
74,161,1,42,42,85,1260,255,1005,0.20238095238095238,50,111,false,false,false,false,false,2878
75,161,1,42,42,101,1260,303,957,0.24047619047619048,44,117,false,false,false,false,false,2891
76,161,1,42,42,98,1260,294,966,0.23333333333333334,54,107,false,false,false,false,false,2883
77,161,1,42,42,79,1260,237,1023,0.1880952380952381,49,112,false,false,false,false,false,2864
78,161,1,42,42,78,1260,234,1026,0.18571428571428572,41,120,false,false,false,false,false,2873
79,161,1,42,42,91,1260,273,987,0.21666666666666667,42,119,false,false,false,false,false,2811
80,161,1,42,42,89,1260,267,993,0.2119047619047619,47,114,false,false,false,false,false,2843
81,161,1,42,42,86,1260,258,1002,0.20476190476190476,47,114,false,false,false,false,false,2878
82,161,1,42,42,74,1260,222,1038,0.1761904761904762,43,118,false,false,false,false,false,2847
83,161,1,42,42,83,1260,249,1011,0.1976190476190476,41,120,false,false,false,false,false,2794
84,161,1,42,42,94,1260,282,978,0.22380952380952382,42,119,false,false,false,false,false,2823
85,161,1,42,42,76,1260,228,1032,0.18095238095238095,43,118,false,false,false,false,false,2821
86,161,1,42,42,88,1260,264,996,0.20952380952380953,46,115,false,false,false,false,false,2804
87,161,1,42,42,90,1260,270,990,0.21428571428571427,39,122,false,false,false,false,false,2833
88,161,1,42,42,81,1260,243,1017,0.19285714285714287,32,129,false,false,false,false,false,2807
89,161,1,42,42,89,1260,267,993,0.2119047619047619,46,115,false,false,false,false,false,2838
90,161,1,42,42,91,1260,273,987,0.21666666666666667,47,114,false,false,false,false,false,2871
91,161,1,42,42,85,1260,255,1005,0.20238095238095238,44,117,false,false,false,false,false,2884
92,161,1,42,42,94,1260,282,978,0.22380952380952382,44,117,false,false,false,false,false,2945
93,161,1,42,42,90,1260,270,990,0.21428571428571427,37,124,false,false,false,false,false,2817
94,161,1,42,42,83,1260,249,1011,0.1976190476190476,40,121,false,false,false,false,false,2900
95,161,2,40;2,40,84,1260,252,1008,0.2,49,112,false,false,false,false,false,2824
96,161,1,42,42,90,1260,270,990,0.21428571428571427,50,111,false,false,false,false,false,2849
97,161,1,42,42,102,1260,306,954,0.24285714285714285,41,120,false,false,false,false,false,2799
98,161,1,42,42,79,1260,237,1023,0.1880952380952381,43,118,false,false,false,false,false,2781
99,161,1,42,42,79,1260,237,1023,0.1880952380952381,40,121,false,false,false,false,false,2924
100,161,1,42,42,92,1260,276,984,0.21904761904761905,45,116,false,false,false,false,false,2866
