pair_id,component_id,i,j,delta,abs_delta,orientation,min_index,max_index,candidate_degree,triangle_participation
0|1,1,0,1,1,1,forward,0,1,11,1
0|2,2,0,2,2,2,forward,0,2,9,1
0|3,3,0,3,3,3,forward,0,3,7,1
0|4,4,0,4,4,4,forward,0,4,5,1
0|5,5,0,5,5,5,forward,0,5,3,1
0|6,6,0,6,6,6,forward,0,6,1,0
1|0,1,1,0,-1,1,backward,0,1,11,1
1|2,1,1,2,1,1,forward,1,2,11,1
1|3,2,1,3,2,2,forward,1,3,9,1
1|4,3,1,4,3,3,forward,1,4,7,1
1|5,4,1,5,4,4,forward,1,5,5,1
1|6,5,1,6,5,5,forward,1,6,3,1
2|0,2,2,0,-2,2,backward,0,2,9,1
2|1,1,2,1,-1,1,backward,1,2,11,1
2|3,1,2,3,1,1,forward,2,3,11,1
2|4,2,2,4,2,2,forward,2,4,9,1
2|5,3,2,5,3,3,forward,2,5,7,1
2|6,4,2,6,4,4,forward,2,6,5,1
3|0,3,3,0,-3,3,backward,0,3,7,1
3|1,2,3,1,-2,2,backward,1,3,9,1
3|2,1,3,2,-1,1,backward,2,3,11,1
3|4,1,3,4,1,1,forward,3,4,11,1
3|5,2,3,5,2,2,forward,3,5,9,1
3|6,3,3,6,3,3,forward,3,6,7,1
4|0,4,4,0,-4,4,backward,0,4,5,1
4|1,3,4,1,-3,3,backward,1,4,7,1
4|2,2,4,2,-2,2,backward,2,4,9,1
4|3,1,4,3,-1,1,backward,3,4,11,1
4|5,1,4,5,1,1,forward,4,5,11,1
4|6,2,4,6,2,2,forward,4,6,9,1
5|0,5,5,0,-5,5,backward,0,5,3,1
5|1,4,5,1,-4,4,backward,1,5,5,1
5|2,3,5,2,-3,3,backward,2,5,7,1
5|3,2,5,3,-2,2,backward,3,5,9,1
5|4,1,5,4,-1,1,backward,4,5,11,1
5|6,1,5,6,1,1,forward,5,6,11,1
6|0,6,6,0,-6,6,backward,0,6,1,0
6|1,5,6,1,-5,5,backward,1,6,3,1
6|2,4,6,2,-4,4,backward,2,6,5,1
6|3,3,6,3,-3,3,backward,3,6,7,1
6|4,2,6,4,-2,2,backward,4,6,9,1
6|5,1,6,5,-1,1,backward,5,6,11,1
