abs_delta,unordered_pair,forward_pair_id,backward_pair_id,has_forward,has_backward,is_orientation_symmetric,component_id_forward,component_id_backward
1,0|1,0|1,1|0,true,true,true,1,1
2,0|2,0|2,2|0,true,true,true,2,2
3,0|3,0|3,3|0,true,true,true,3,3
4,0|4,0|4,4|0,true,true,true,4,4
5,0|5,0|5,5|0,true,true,true,5,5
6,0|6,0|6,6|0,true,true,true,6,6
1,1|2,1|2,2|1,true,true,true,1,1
2,1|3,1|3,3|1,true,true,true,2,2
3,1|4,1|4,4|1,true,true,true,3,3
4,1|5,1|5,5|1,true,true,true,4,4
5,1|6,1|6,6|1,true,true,true,5,5
1,2|3,2|3,3|2,true,true,true,1,1
2,2|4,2|4,4|2,true,true,true,2,2
3,2|5,2|5,5|2,true,true,true,3,3
4,2|6,2|6,6|2,true,true,true,4,4
1,3|4,3|4,4|3,true,true,true,1,1
2,3|5,3|5,5|3,true,true,true,2,2
3,3|6,3|6,6|3,true,true,true,3,3
1,4|5,4|5,5|4,true,true,true,1,1
2,4|6,4|6,6|4,true,true,true,2,2
1,5|6,5|6,6|5,true,true,true,1,1
