rank,pair_a,pair_b,component_a,abs_delta_a,strength,theta_edge,margin_to_theta,edge_candidate_flag
1,0|1,1|0,1,1,1.0,0.5,0.5,1
2,0|1,1|2,1,1,1.0,0.5,0.5,1
3,0|1,2|1,1,1,1.0,0.5,0.5,1
4,0|1,2|3,1,1,1.0,0.5,0.5,1
5,0|1,3|2,1,1,1.0,0.5,0.5,1
6,0|1,3|4,1,1,1.0,0.5,0.5,1
7,0|1,4|3,1,1,1.0,0.5,0.5,1
8,0|1,4|5,1,1,1.0,0.5,0.5,1
9,0|1,5|4,1,1,1.0,0.5,0.5,1
10,0|1,5|6,1,1,1.0,0.5,0.5,1
11,0|1,6|5,1,1,1.0,0.5,0.5,1
12,1|0,1|2,1,1,1.0,0.5,0.5,1
13,1|0,2|1,1,1,1.0,0.5,0.5,1
14,1|0,2|3,1,1,1.0,0.5,0.5,1
15,1|0,3|2,1,1,1.0,0.5,0.5,1
16,1|0,3|4,1,1,1.0,0.5,0.5,1
17,1|0,4|3,1,1,1.0,0.5,0.5,1
18,1|0,4|5,1,1,1.0,0.5,0.5,1
19,1|0,5|4,1,1,1.0,0.5,0.5,1
20,1|0,5|6,1,1,1.0,0.5,0.5,1
21,1|0,6|5,1,1,1.0,0.5,0.5,1
22,1|2,2|1,1,1,1.0,0.5,0.5,1
23,1|2,2|3,1,1,1.0,0.5,0.5,1
24,1|2,3|2,1,1,1.0,0.5,0.5,1
25,1|2,3|4,1,1,1.0,0.5,0.5,1
