rank,pair_a,pair_b,component_a,component_b,abs_delta_a,abs_delta_b,strength,theta_edge,margin_to_theta,edge_candidate_flag
1,0|6,1|3,6,2,6,2,0.34091958020143315,0.5,-0.15908041979856685,0
2,0|6,2|0,6,2,6,2,0.34091958020143315,0.5,-0.15908041979856685,0
3,0|6,2|4,6,2,6,2,0.34091958020143315,0.5,-0.15908041979856685,0
4,0|6,3|1,6,2,6,2,0.34091958020143315,0.5,-0.15908041979856685,0
5,0|6,3|5,6,2,6,2,0.34091958020143315,0.5,-0.15908041979856685,0
6,0|6,4|2,6,2,6,2,0.34091958020143315,0.5,-0.15908041979856685,0
7,0|6,5|3,6,2,6,2,0.34091958020143315,0.5,-0.15908041979856685,0
8,0|6,6|4,6,2,6,2,0.34091958020143315,0.5,-0.15908041979856685,0
9,0|2,0|6,2,6,2,6,0.3409195802014331,0.5,-0.1590804197985669,0
10,3|1,6|0,2,6,2,6,0.3409195802014331,0.5,-0.1590804197985669,0
11,4|2,6|0,2,6,2,6,0.3409195802014331,0.5,-0.1590804197985669,0
12,5|3,6|0,2,6,2,6,0.3409195802014331,0.5,-0.1590804197985669,0
13,0|6,4|6,6,2,6,2,0.3409195802014331,0.5,-0.1590804197985669,0
14,0|2,6|0,2,6,2,6,0.34091958020143304,0.5,-0.15908041979856696,0
15,1|3,6|0,2,6,2,6,0.34091958020143304,0.5,-0.15908041979856696,0
16,2|0,6|0,2,6,2,6,0.34091958020143304,0.5,-0.15908041979856696,0
17,2|4,6|0,2,6,2,6,0.34091958020143304,0.5,-0.15908041979856696,0
18,3|5,6|0,2,6,2,6,0.34091958020143304,0.5,-0.15908041979856696,0
19,4|6,6|0,2,6,2,6,0.34091958020143304,0.5,-0.15908041979856696,0
20,6|0,6|4,6,2,6,2,0.34091958020143304,0.5,-0.15908041979856696,0
21,0|1,0|3,1,3,1,3,0.31132172327636765,0.5,-0.18867827672363235,0
22,0|1,1|4,1,3,1,3,0.31132172327636765,0.5,-0.18867827672363235,0
23,0|1,2|5,1,3,1,3,0.31132172327636765,0.5,-0.18867827672363235,0
24,0|1,3|0,1,3,1,3,0.31132172327636765,0.5,-0.18867827672363235,0
25,0|1,3|6,1,3,1,3,0.31132172327636765,0.5,-0.18867827672363235,0
