pair_id,component_id,component_size,expected_clique_degree,observed_candidate_degree,degree_matches_clique_expectation,triangle_participation
0|1,1,12,11,11,true,1
1|0,1,12,11,11,true,1
1|2,1,12,11,11,true,1
2|1,1,12,11,11,true,1
2|3,1,12,11,11,true,1
3|2,1,12,11,11,true,1
3|4,1,12,11,11,true,1
4|3,1,12,11,11,true,1
4|5,1,12,11,11,true,1
5|4,1,12,11,11,true,1
5|6,1,12,11,11,true,1
6|5,1,12,11,11,true,1
0|2,2,10,9,9,true,1
1|3,2,10,9,9,true,1
2|0,2,10,9,9,true,1
2|4,2,10,9,9,true,1
3|1,2,10,9,9,true,1
3|5,2,10,9,9,true,1
4|2,2,10,9,9,true,1
4|6,2,10,9,9,true,1
5|3,2,10,9,9,true,1
6|4,2,10,9,9,true,1
0|3,3,8,7,7,true,1
1|4,3,8,7,7,true,1
2|5,3,8,7,7,true,1
3|0,3,8,7,7,true,1
3|6,3,8,7,7,true,1
4|1,3,8,7,7,true,1
5|2,3,8,7,7,true,1
6|3,3,8,7,7,true,1
0|4,4,6,5,5,true,1
1|5,4,6,5,5,true,1
2|6,4,6,5,5,true,1
4|0,4,6,5,5,true,1
5|1,4,6,5,5,true,1
6|2,4,6,5,5,true,1
0|5,5,4,3,3,true,1
1|6,5,4,3,3,true,1
5|0,5,4,3,3,true,1
6|1,5,4,3,3,true,1
0|6,6,2,1,1,true,0
6|0,6,2,1,1,true,0
