pair_id,original_abs_delta,permuted_pair_id,permuted_abs_delta,seed
0|1,1,3|4,1,20260630_label_permutation_control_v1
0|2,2,3|6,3,20260630_label_permutation_control_v1
0|3,3,3|1,2,20260630_label_permutation_control_v1
0|4,4,3|2,1,20260630_label_permutation_control_v1
0|5,5,3|0,3,20260630_label_permutation_control_v1
0|6,6,3|5,2,20260630_label_permutation_control_v1
1|0,1,4|3,1,20260630_label_permutation_control_v1
1|2,1,4|6,2,20260630_label_permutation_control_v1
1|3,2,4|1,3,20260630_label_permutation_control_v1
1|4,3,4|2,2,20260630_label_permutation_control_v1
1|5,4,4|0,4,20260630_label_permutation_control_v1
1|6,5,4|5,1,20260630_label_permutation_control_v1
2|0,2,6|3,3,20260630_label_permutation_control_v1
2|1,1,6|4,2,20260630_label_permutation_control_v1
2|3,1,6|1,5,20260630_label_permutation_control_v1
2|4,2,6|2,4,20260630_label_permutation_control_v1
2|5,3,6|0,6,20260630_label_permutation_control_v1
2|6,4,6|5,1,20260630_label_permutation_control_v1
3|0,3,1|3,2,20260630_label_permutation_control_v1
3|1,2,1|4,3,20260630_label_permutation_control_v1
3|2,1,1|6,5,20260630_label_permutation_control_v1
3|4,1,1|2,1,20260630_label_permutation_control_v1
3|5,2,1|0,1,20260630_label_permutation_control_v1
3|6,3,1|5,4,20260630_label_permutation_control_v1
4|0,4,2|3,1,20260630_label_permutation_control_v1
4|1,3,2|4,2,20260630_label_permutation_control_v1
4|2,2,2|6,4,20260630_label_permutation_control_v1
4|3,1,2|1,1,20260630_label_permutation_control_v1
4|5,1,2|0,2,20260630_label_permutation_control_v1
4|6,2,2|5,3,20260630_label_permutation_control_v1
5|0,5,0|3,3,20260630_label_permutation_control_v1
5|1,4,0|4,4,20260630_label_permutation_control_v1
5|2,3,0|6,6,20260630_label_permutation_control_v1
5|3,2,0|1,1,20260630_label_permutation_control_v1
5|4,1,0|2,2,20260630_label_permutation_control_v1
5|6,1,0|5,5,20260630_label_permutation_control_v1
6|0,6,5|3,2,20260630_label_permutation_control_v1
6|1,5,5|4,1,20260630_label_permutation_control_v1
6|2,4,5|6,1,20260630_label_permutation_control_v1
6|3,3,5|1,4,20260630_label_permutation_control_v1
6|4,2,5|2,3,20260630_label_permutation_control_v1
6|5,1,5|0,5,20260630_label_permutation_control_v1
