pair_a,pair_b,i_a,j_a,i_b,j_b,delta_a,delta_b,abs_delta_a,abs_delta_b,same_abs_delta,edge_candidate_flag,strength,theta_edge,strength_margin,abs_delta_gap,same_orientation,shares_left_index,shares_right_index,shares_any_index,pair_index_sum_gap,source_native_features_present,source_feature_columns
0|1,1|0,0,1,1,0,1,-1,1,1,true,1,1.0,0.5,0.5,0,false,false,false,true,0,false,
0|1,1|2,0,1,1,2,1,1,1,1,true,1,1.0,0.5,0.5,0,true,false,false,true,2,false,
0|1,2|1,0,1,2,1,1,-1,1,1,true,1,1.0,0.5,0.5,0,false,false,true,true,2,false,
0|1,2|3,0,1,2,3,1,1,1,1,true,1,1.0,0.5,0.5,0,true,false,false,false,4,false,
0|1,3|2,0,1,3,2,1,-1,1,1,true,1,1.0,0.5,0.5,0,false,false,false,false,4,false,
0|1,3|4,0,1,3,4,1,1,1,1,true,1,1.0,0.5,0.5,0,true,false,false,false,6,false,
0|1,4|3,0,1,4,3,1,-1,1,1,true,1,1.0,0.5,0.5,0,false,false,false,false,6,false,
0|1,4|5,0,1,4,5,1,1,1,1,true,1,1.0,0.5,0.5,0,true,false,false,false,8,false,
0|1,5|4,0,1,5,4,1,-1,1,1,true,1,1.0,0.5,0.5,0,false,false,false,false,8,false,
0|1,5|6,0,1,5,6,1,1,1,1,true,1,1.0,0.5,0.5,0,true,false,false,false,10,false,
0|1,6|5,0,1,6,5,1,-1,1,1,true,1,1.0,0.5,0.5,0,false,false,false,false,10,false,
1|0,1|2,1,0,1,2,-1,1,1,1,true,1,1.0,0.5,0.5,0,false,true,false,true,2,false,
1|0,2|1,1,0,2,1,-1,-1,1,1,true,1,1.0,0.5,0.5,0,true,false,false,true,2,false,
1|0,2|3,1,0,2,3,-1,1,1,1,true,1,1.0,0.5,0.5,0,false,false,false,false,4,false,
1|0,3|2,1,0,3,2,-1,-1,1,1,true,1,1.0,0.5,0.5,0,true,false,false,false,4,false,
1|0,3|4,1,0,3,4,-1,1,1,1,true,1,1.0,0.5,0.5,0,false,false,false,false,6,false,
1|0,4|3,1,0,4,3,-1,-1,1,1,true,1,1.0,0.5,0.5,0,true,false,false,false,6,false,
1|0,4|5,1,0,4,5,-1,1,1,1,true,1,1.0,0.5,0.5,0,false,false,false,false,8,false,
1|0,5|4,1,0,5,4,-1,-1,1,1,true,1,1.0,0.5,0.5,0,true,false,false,false,8,false,
1|0,5|6,1,0,5,6,-1,1,1,1,true,1,1.0,0.5,0.5,0,false,false,false,false,10,false,
1|0,6|5,1,0,6,5,-1,-1,1,1,true,1,1.0,0.5,0.5,0,true,false,false,false,10,false,
1|2,2|1,1,2,2,1,1,-1,1,1,true,1,1.0,0.5,0.5,0,false,false,false,true,0,false,
1|2,2|3,1,2,2,3,1,1,1,1,true,1,1.0,0.5,0.5,0,true,false,false,true,2,false,
1|2,3|2,1,2,3,2,1,-1,1,1,true,1,1.0,0.5,0.5,0,false,false,true,true,2,false,
1|2,3|4,1,2,3,4,1,1,1,1,true,1,1.0,0.5,0.5,0,true,false,false,false,4,false,
1|2,4|3,1,2,4,3,1,-1,1,1,true,1,1.0,0.5,0.5,0,false,false,false,false,4,false,
1|2,4|5,1,2,4,5,1,1,1,1,true,1,1.0,0.5,0.5,0,true,false,false,false,6,false,
1|2,5|4,1,2,5,4,1,-1,1,1,true,1,1.0,0.5,0.5,0,false,false,false,false,6,false,
1|2,5|6,1,2,5,6,1,1,1,1,true,1,1.0,0.5,0.5,0,true,false,false,false,8,false,
