residual_model,group_key,edge_rows,strength_min,strength_median,strength_mean,strength_max,residual_min,residual_median,residual_mean,residual_max,residual_abs_mean,residual_nonzero_count
coarse_same_abs_delta,same_abs_delta=false,700,0.006936140120339703,0.18664400870287967,0.16673021799110121,0.34091958020143315,-0.15979407787076153,0.019913790711778456,-1.1161706479713627e-17,0.17418936221033193,0.09839533100200189,700
coarse_same_abs_delta,same_abs_delta=true,161,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
abs_delta_pair,"abs_delta_pair=1,1",66,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
abs_delta_pair,"abs_delta_pair=1,2",120,0.2423545674493508,0.24235456744935086,0.24235456744935083,0.2423545674493509,-2.7755575615628914e-17,2.7755575615628914e-17,1.2027416100105863e-17,8.326672684688674e-17,3.23815048849004e-17,0
abs_delta_pair,"abs_delta_pair=1,3",96,0.31132172327636753,0.31132172327636765,0.3113217232763676,0.31132172327636765,-5.551115123125783e-17,5.551115123125783e-17,2.312964634635743e-17,5.551115123125783e-17,4.163336342344337e-17,0
abs_delta_pair,"abs_delta_pair=1,4",72,0.10651164470321299,0.10651164470321299,0.106511644703213,0.10651164470321303,-1.3877787807814457e-17,-1.3877787807814457e-17,3.469446951953614e-18,2.7755575615628914e-17,1.9660199394403815e-17,0
abs_delta_pair,"abs_delta_pair=1,5",48,0.18664400870287964,0.1866440087028797,0.1866440087028797,0.1866440087028798,-5.551115123125783e-17,0.0,1.61907524424502e-17,1.1102230246251565e-16,4.85722573273506e-17,0
abs_delta_pair,"abs_delta_pair=1,6",24,0.08054800671397025,0.08054800671397028,0.08054800671397026,0.08054800671397029,-1.3877787807814457e-17,6.938893903907228e-18,6.938893903907228e-18,2.7755575615628914e-17,2.0816681711721685e-17,0
abs_delta_pair,"abs_delta_pair=2,2",45,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
abs_delta_pair,"abs_delta_pair=2,3",80,0.0780082760320604,0.0780082760320604,0.07800827603206041,0.07800827603206043,-1.3877787807814457e-17,-1.3877787807814457e-17,-4.163336342344337e-18,1.3877787807814457e-17,1.3877787807814457e-17,0
abs_delta_pair,"abs_delta_pair=2,4",60,0.2620039382719885,0.26200393827198853,0.2620039382719886,0.26200393827198865,-1.1102230246251565e-16,-2.7755575615628914e-17,-3.608224830031759e-17,5.551115123125783e-17,4.718447854656915e-17,0
abs_delta_pair,"abs_delta_pair=2,5",40,0.04845091076863317,0.04845091076863321,0.0484509107686332,0.04845091076863323,-2.7755575615628914e-17,1.3877787807814457e-17,3.4694469519536144e-19,3.469446951953614e-17,1.9081958235744878e-17,0
abs_delta_pair,"abs_delta_pair=2,6",20,0.34091958020143304,0.3409195802014331,0.3409195802014331,0.34091958020143315,-5.551115123125783e-17,0.0,2.7755575615628915e-18,5.551115123125783e-17,4.163336342344337e-17,0
abs_delta_pair,"abs_delta_pair=3,3",28,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
abs_delta_pair,"abs_delta_pair=3,4",48,0.02815337486850762,0.02815337486850762,0.02815337486850762,0.02815337486850762,0.0,0.0,0.0,0.0,0.0,0
abs_delta_pair,"abs_delta_pair=3,5",32,0.050057322793776914,0.050057322793776914,0.05005732279377692,0.05005732279377694,-6.938893903907228e-18,-6.938893903907228e-18,0.0,2.0816681711721685e-17,1.0408340855860843e-17,0
abs_delta_pair,"abs_delta_pair=3,6",16,0.2496419050598439,0.2496419050598439,0.2496419050598439,0.24964190505984396,0.0,0.0,1.3877787807814457e-17,5.551115123125783e-17,1.3877787807814457e-17,0
abs_delta_pair,"abs_delta_pair=4,4",15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
abs_delta_pair,"abs_delta_pair=4,5",24,0.019253805674400607,0.019253805674400645,0.019253805674400642,0.01925380567440067,-3.469446951953614e-17,5.204170427930421e-18,8.673617379884035e-19,2.7755575615628914e-17,1.8214596497756474e-17,0
abs_delta_pair,"abs_delta_pair=4,6",12,0.08320353274661693,0.08320353274661693,0.08320353274661695,0.08320353274661697,-1.3877787807814457e-17,-1.3877787807814457e-17,-3.469446951953614e-18,2.7755575615628914e-17,1.734723475976807e-17,0
abs_delta_pair,"abs_delta_pair=5,5",6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
abs_delta_pair,"abs_delta_pair=5,6",8,0.006936140120339703,0.00693614012033974,0.0069361401203397325,0.006936140120339746,-2.949029909160572e-17,7.37257477290143e-18,-2.168404344971009e-19,1.3877787807814457e-17,1.452830911130576e-17,0
abs_delta_pair,"abs_delta_pair=6,6",1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=1,1|same_orientation=false|shares_any_index=false",20,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=1,1|same_orientation=false|shares_any_index=true",16,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=1,1|same_orientation=true|shares_any_index=false",20,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=1,1|same_orientation=true|shares_any_index=true",10,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=1,2|same_orientation=false|shares_any_index=false",24,0.2423545674493508,0.24235456744935083,0.24235456744935083,0.2423545674493509,-2.7755575615628914e-17,0.0,4.625929269271485e-18,8.326672684688674e-17,3.23815048849004e-17,0
