theta,candidate_edge_count,within_same_abs_delta_candidate_count,cross_abs_delta_candidate_count,component_count,largest_component_size,complete_disjoint_clique_blocks,notes
0.0,861,161,700,1,42,true,simulated_from_existing_strength
0.05,741,161,580,1,42,false,simulated_from_existing_strength
0.1,593,161,432,1,42,false,simulated_from_existing_strength
0.15000000000000002,521,161,360,1,42,false,simulated_from_existing_strength
0.2,473,161,312,2,38,false,simulated_from_existing_strength
0.25,337,161,176,3,20,false,simulated_from_existing_strength
0.30000000000000004,277,161,116,4,20,true,simulated_from_existing_strength
0.35000000000000003,161,161,0,6,12,true,simulated_from_existing_strength
0.4,161,161,0,6,12,true,simulated_from_existing_strength
0.45,161,161,0,6,12,true,simulated_from_existing_strength
0.5,161,161,0,6,12,true,observed_theta
0.55,161,161,0,6,12,true,simulated_from_existing_strength
0.6000000000000001,161,161,0,6,12,true,simulated_from_existing_strength
0.65,161,161,0,6,12,true,simulated_from_existing_strength
0.7000000000000001,161,161,0,6,12,true,simulated_from_existing_strength
0.75,161,161,0,6,12,true,simulated_from_existing_strength
0.8,161,161,0,6,12,true,simulated_from_existing_strength
0.8500000000000001,161,161,0,6,12,true,simulated_from_existing_strength
0.9,161,161,0,6,12,true,simulated_from_existing_strength
0.9500000000000001,161,161,0,6,12,true,simulated_from_existing_strength
1.0,161,161,0,6,12,true,simulated_from_existing_strength
