pair_a,pair_b,abs_delta_a,abs_delta_b,same_abs_delta,strength,theta_edge,edge_candidate_flag,expected_flag_by_same_abs_delta,expected_flag_by_strength_threshold,flag_matches_same_abs_delta,flag_matches_strength_threshold,strength_is_one,strength_one_matches_same_abs_delta
0|1,1|0,1,1,true,1.0,0.5,1,1,1,true,true,true,true
0|1,1|2,1,1,true,1.0,0.5,1,1,1,true,true,true,true
0|1,2|1,1,1,true,1.0,0.5,1,1,1,true,true,true,true
0|1,2|3,1,1,true,1.0,0.5,1,1,1,true,true,true,true
0|1,3|2,1,1,true,1.0,0.5,1,1,1,true,true,true,true
0|1,3|4,1,1,true,1.0,0.5,1,1,1,true,true,true,true
0|1,4|3,1,1,true,1.0,0.5,1,1,1,true,true,true,true
0|1,4|5,1,1,true,1.0,0.5,1,1,1,true,true,true,true
0|1,5|4,1,1,true,1.0,0.5,1,1,1,true,true,true,true
0|1,5|6,1,1,true,1.0,0.5,1,1,1,true,true,true,true
0|1,6|5,1,1,true,1.0,0.5,1,1,1,true,true,true,true
1|0,1|2,1,1,true,1.0,0.5,1,1,1,true,true,true,true
1|0,2|1,1,1,true,1.0,0.5,1,1,1,true,true,true,true
1|0,2|3,1,1,true,1.0,0.5,1,1,1,true,true,true,true
1|0,3|2,1,1,true,1.0,0.5,1,1,1,true,true,true,true
1|0,3|4,1,1,true,1.0,0.5,1,1,1,true,true,true,true
1|0,4|3,1,1,true,1.0,0.5,1,1,1,true,true,true,true
1|0,4|5,1,1,true,1.0,0.5,1,1,1,true,true,true,true
1|0,5|4,1,1,true,1.0,0.5,1,1,1,true,true,true,true
1|0,5|6,1,1,true,1.0,0.5,1,1,1,true,true,true,true
1|0,6|5,1,1,true,1.0,0.5,1,1,1,true,true,true,true
1|2,2|1,1,1,true,1.0,0.5,1,1,1,true,true,true,true
1|2,2|3,1,1,true,1.0,0.5,1,1,1,true,true,true,true
1|2,3|2,1,1,true,1.0,0.5,1,1,1,true,true,true,true
1|2,3|4,1,1,true,1.0,0.5,1,1,1,true,true,true,true
1|2,4|3,1,1,true,1.0,0.5,1,1,1,true,true,true,true
1|2,4|5,1,1,true,1.0,0.5,1,1,1,true,true,true,true
1|2,5|4,1,1,true,1.0,0.5,1,1,1,true,true,true,true
1|2,5|6,1,1,true,1.0,0.5,1,1,1,true,true,true,true
1|2,6|5,1,1,true,1.0,0.5,1,1,1,true,true,true,true
2|1,2|3,1,1,true,1.0,0.5,1,1,1,true,true,true,true
2|1,3|2,1,1,true,1.0,0.5,1,1,1,true,true,true,true
2|1,3|4,1,1,true,1.0,0.5,1,1,1,true,true,true,true
2|1,4|3,1,1,true,1.0,0.5,1,1,1,true,true,true,true
2|1,4|5,1,1,true,1.0,0.5,1,1,1,true,true,true,true
2|1,5|4,1,1,true,1.0,0.5,1,1,1,true,true,true,true
2|1,5|6,1,1,true,1.0,0.5,1,1,1,true,true,true,true
2|1,6|5,1,1,true,1.0,0.5,1,1,1,true,true,true,true
2|3,3|2,1,1,true,1.0,0.5,1,1,1,true,true,true,true
2|3,3|4,1,1,true,1.0,0.5,1,1,1,true,true,true,true
2|3,4|3,1,1,true,1.0,0.5,1,1,1,true,true,true,true
2|3,4|5,1,1,true,1.0,0.5,1,1,1,true,true,true,true
2|3,5|4,1,1,true,1.0,0.5,1,1,1,true,true,true,true
2|3,5|6,1,1,true,1.0,0.5,1,1,1,true,true,true,true
2|3,6|5,1,1,true,1.0,0.5,1,1,1,true,true,true,true
3|2,3|4,1,1,true,1.0,0.5,1,1,1,true,true,true,true
3|2,4|3,1,1,true,1.0,0.5,1,1,1,true,true,true,true
3|2,4|5,1,1,true,1.0,0.5,1,1,1,true,true,true,true
3|2,5|4,1,1,true,1.0,0.5,1,1,1,true,true,true,true
3|2,5|6,1,1,true,1.0,0.5,1,1,1,true,true,true,true
3|2,6|5,1,1,true,1.0,0.5,1,1,1,true,true,true,true
3|4,4|3,1,1,true,1.0,0.5,1,1,1,true,true,true,true
3|4,4|5,1,1,true,1.0,0.5,1,1,1,true,true,true,true
3|4,5|4,1,1,true,1.0,0.5,1,1,1,true,true,true,true
3|4,5|6,1,1,true,1.0,0.5,1,1,1,true,true,true,true
3|4,6|5,1,1,true,1.0,0.5,1,1,1,true,true,true,true
4|3,4|5,1,1,true,1.0,0.5,1,1,1,true,true,true,true
4|3,5|4,1,1,true,1.0,0.5,1,1,1,true,true,true,true
4|3,5|6,1,1,true,1.0,0.5,1,1,1,true,true,true,true
