group_name,edge_rows,strength_min,strength_median,strength_mean,strength_max,theta_edge_min,theta_edge_max,margin_min,margin_median,margin_mean,margin_max
same_abs_delta=true,161,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
same_abs_delta=false,700,0.006936140120339703,0.18664400870287967,0.16673021799110121,0.34091958020143315,0.5,0.5,-0.4930638598796603,-0.31335599129712033,-0.3332697820088988,-0.15908041979856685
edge_candidate_flag=1,161,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
edge_candidate_flag=0,700,0.006936140120339703,0.18664400870287967,0.16673021799110121,0.34091958020143315,0.5,0.5,-0.4930638598796603,-0.31335599129712033,-0.3332697820088988,-0.15908041979856685
"abs_delta_pair=1,1",66,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
"abs_delta_pair=1,2",60,0.2423545674493508,0.24235456744935086,0.24235456744935083,0.2423545674493509,0.5,0.5,-0.2576454325506492,-0.25764543255064914,-0.25764543255064914,-0.2576454325506491
"abs_delta_pair=1,3",48,0.31132172327636753,0.31132172327636765,0.31132172327636765,0.31132172327636765,0.5,0.5,-0.18867827672363247,-0.18867827672363235,-0.18867827672363235,-0.18867827672363235
"abs_delta_pair=1,4",36,0.10651164470321299,0.10651164470321299,0.106511644703213,0.10651164470321303,0.5,0.5,-0.393488355296787,-0.393488355296787,-0.39348835529678694,-0.39348835529678694
"abs_delta_pair=1,5",24,0.18664400870287964,0.18664400870287967,0.18664400870287967,0.1866440087028798,0.5,0.5,-0.31335599129712033,-0.31335599129712033,-0.31335599129712033,-0.3133559912971202
"abs_delta_pair=1,6",12,0.08054800671397025,0.08054800671397025,0.08054800671397025,0.08054800671397029,0.5,0.5,-0.4194519932860298,-0.4194519932860298,-0.4194519932860297,-0.4194519932860297
"abs_delta_pair=2,1",60,0.2423545674493508,0.24235456744935086,0.24235456744935083,0.2423545674493509,0.5,0.5,-0.2576454325506492,-0.25764543255064914,-0.25764543255064914,-0.2576454325506491
"abs_delta_pair=2,2",45,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
"abs_delta_pair=2,3",40,0.0780082760320604,0.0780082760320604,0.07800827603206041,0.07800827603206043,0.5,0.5,-0.4219917239679396,-0.4219917239679396,-0.4219917239679396,-0.4219917239679396
"abs_delta_pair=2,4",30,0.2620039382719885,0.2620039382719886,0.2620039382719886,0.26200393827198865,0.5,0.5,-0.23799606172801152,-0.2379960617280114,-0.23799606172801144,-0.23799606172801135
"abs_delta_pair=2,5",20,0.04845091076863317,0.04845091076863321,0.04845091076863321,0.04845091076863323,0.5,0.5,-0.45154908923136683,-0.4515490892313668,-0.45154908923136683,-0.4515490892313668
"abs_delta_pair=2,6",10,0.34091958020143304,0.34091958020143304,0.34091958020143304,0.3409195802014331,0.5,0.5,-0.15908041979856696,-0.15908041979856696,-0.15908041979856696,-0.1590804197985669
"abs_delta_pair=3,1",48,0.31132172327636753,0.3113217232763676,0.3113217232763676,0.31132172327636765,0.5,0.5,-0.18867827672363247,-0.1886782767236324,-0.18867827672363238,-0.18867827672363235
"abs_delta_pair=3,2",40,0.0780082760320604,0.0780082760320604,0.07800827603206041,0.07800827603206043,0.5,0.5,-0.4219917239679396,-0.4219917239679396,-0.4219917239679396,-0.4219917239679396
"abs_delta_pair=3,3",28,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
"abs_delta_pair=3,4",24,0.02815337486850762,0.02815337486850762,0.02815337486850762,0.02815337486850762,0.5,0.5,-0.4718466251314924,-0.4718466251314924,-0.4718466251314924,-0.4718466251314924
"abs_delta_pair=3,5",16,0.050057322793776914,0.050057322793776914,0.05005732279377692,0.05005732279377694,0.5,0.5,-0.4499426772062231,-0.4499426772062231,-0.4499426772062231,-0.44994267720622305
"abs_delta_pair=3,6",8,0.2496419050598439,0.2496419050598439,0.2496419050598439,0.24964190505984396,0.5,0.5,-0.2503580949401561,-0.2503580949401561,-0.2503580949401561,-0.25035809494015604
"abs_delta_pair=4,1",36,0.10651164470321299,0.10651164470321303,0.10651164470321302,0.10651164470321303,0.5,0.5,-0.393488355296787,-0.39348835529678694,-0.39348835529678694,-0.39348835529678694
"abs_delta_pair=4,2",30,0.2620039382719885,0.26200393827198853,0.26200393827198853,0.26200393827198865,0.5,0.5,-0.23799606172801152,-0.23799606172801147,-0.23799606172801147,-0.23799606172801135
"abs_delta_pair=4,3",24,0.02815337486850762,0.02815337486850762,0.02815337486850762,0.02815337486850762,0.5,0.5,-0.4718466251314924,-0.4718466251314924,-0.4718466251314924,-0.4718466251314924
"abs_delta_pair=4,4",15,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
"abs_delta_pair=4,5",12,0.019253805674400607,0.019253805674400624,0.019253805674400628,0.019253805674400652,0.5,0.5,-0.4807461943255994,-0.4807461943255994,-0.48074619432559934,-0.48074619432559934
"abs_delta_pair=4,6",6,0.08320353274661693,0.08320353274661693,0.08320353274661693,0.08320353274661693,0.5,0.5,-0.41679646725338304,-0.41679646725338304,-0.41679646725338304,-0.41679646725338304
"abs_delta_pair=5,1",24,0.18664400870287964,0.18664400870287975,0.18664400870287975,0.1866440087028798,0.5,0.5,-0.31335599129712033,-0.3133559912971202,-0.3133559912971203,-0.3133559912971202
"abs_delta_pair=5,2",20,0.04845091076863317,0.04845091076863317,0.048450910768633185,0.04845091076863321,0.5,0.5,-0.45154908923136683,-0.45154908923136683,-0.45154908923136683,-0.4515490892313668
