trial_id,candidate_edges_same_abs_delta_under_permuted_labels,candidate_edges_cross_abs_delta_under_permuted_labels,exact_same_abs_delta_rule_preserved
1,31,130,false
2,32,129,false
3,28,133,false
4,25,136,false
5,29,132,false
6,27,134,false
7,31,130,false
8,29,132,false
9,32,129,false
10,31,130,false
11,34,127,false
12,38,123,false
13,34,127,false
14,34,127,false
15,26,135,false
16,27,134,false
17,24,137,false
18,35,126,false
19,25,136,false
20,41,120,false
21,30,131,false
22,26,135,false
23,28,133,false
24,35,126,false
25,27,134,false
26,23,138,false
27,32,129,false
28,25,136,false
29,30,131,false
30,27,134,false
31,25,136,false
32,33,128,false
33,30,131,false
34,45,116,false
35,29,132,false
36,27,134,false
37,25,136,false
38,38,123,false
39,47,114,false
40,28,133,false
41,32,129,false
42,32,129,false
43,27,134,false
44,31,130,false
45,27,134,false
46,29,132,false
47,25,136,false
48,28,133,false
49,35,126,false
50,29,132,false
51,28,133,false
52,27,134,false
53,30,131,false
54,27,134,false
55,26,135,false
56,28,133,false
57,35,126,false
58,28,133,false
59,31,130,false
60,34,127,false
61,28,133,false
62,33,128,false
63,29,132,false
64,26,135,false
65,33,128,false
66,33,128,false
67,32,129,false
68,33,128,false
69,26,135,false
70,27,134,false
71,40,121,false
72,31,130,false
73,28,133,false
74,36,125,false
75,32,129,false
76,28,133,false
77,32,129,false
78,26,135,false
79,28,133,false
80,38,123,false
81,36,125,false
82,29,132,false
83,29,132,false
84,33,128,false
85,31,130,false
86,28,133,false
87,30,131,false
88,28,133,false
89,33,128,false
90,27,134,false
91,30,131,false
92,29,132,false
93,28,133,false
94,28,133,false
95,29,132,false
96,25,136,false
97,23,138,false
98,38,123,false
99,31,130,false
100,27,134,false
101,31,130,false
102,31,130,false
103,27,134,false
104,31,130,false
105,36,125,false
106,30,131,false
107,30,131,false
108,27,134,false
109,28,133,false
110,33,128,false
111,28,133,false
112,30,131,false
113,28,133,false
114,25,136,false
115,29,132,false
116,29,132,false
117,27,134,false
118,25,136,false
119,23,138,false
120,24,137,false
121,33,128,false
122,26,135,false
123,32,129,false
124,26,135,false
125,30,131,false
126,34,127,false
127,21,140,false
128,34,127,false
129,28,133,false
130,36,125,false
131,25,136,false
132,32,129,false
133,26,135,false
134,27,134,false
135,32,129,false
136,30,131,false
137,34,127,false
138,30,131,false
139,38,123,false
140,29,132,false
141,24,137,false
142,36,125,false
143,27,134,false
144,35,126,false
145,37,124,false
146,30,131,false
147,30,131,false
148,36,125,false
149,28,133,false
150,24,137,false
151,34,127,false
152,29,132,false
153,37,124,false
154,30,131,false
155,25,136,false
156,35,126,false
157,29,132,false
158,26,135,false
159,26,135,false
160,24,137,false
161,33,128,false
162,26,135,false
163,30,131,false
164,22,139,false
165,40,121,false
166,30,131,false
167,31,130,false
168,37,124,false
169,22,139,false
170,50,111,false
171,33,128,false
172,34,127,false
173,31,130,false
174,33,128,false
175,24,137,false
176,28,133,false
177,28,133,false
178,28,133,false
179,28,133,false
180,28,133,false
181,30,131,false
182,24,137,false
183,31,130,false
184,32,129,false
185,28,133,false
186,29,132,false
187,26,135,false
188,25,136,false
189,36,125,false
190,25,136,false
191,34,127,false
192,27,134,false
193,33,128,false
194,38,123,false
195,31,130,false
196,28,133,false
197,26,135,false
198,33,128,false
199,26,135,false
