path,line_number,excerpt,theta_value_detected,source_type,assessment
scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,44,THETA_EDGE = 0.5,0.5,script_constant,theta_origin_resolved_script_constant
scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,178,"if by_freeze[""HF-02""][""decision_value""] != ""K_from_phase_response_vectors"" or by_freeze[""HF-03""][""decision_value""] != ELL_0 or by_freeze[""HF-04""][""decision_value""] != EPSILON_GRAM or by_freeze[""HF-06""][""decision_value""] != THETA_EDGE:",,config,theta_frozen_decision_trace
scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,179,"fail(""extract03a_r1_blocked_invalid_frozen_decisions"", ""frozen K/ell_0/epsilon_Gram/theta_edge mismatch"")",,documentation,documentation_trace
scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,255,edge = strength >= THETA_EDGE,,documentation,documentation_trace
scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,360,"edge_rows = [{""pair_a"": pair_ids[i], ""pair_b"": pair_ids[j], ""strength"": format(float(strength[i,j]), "".17g""), ""theta_edge"": THETA_EDGE, ""edge_candidate_flag"": int(edge[i,j]), ""diagonal"": int(i == j), ""claim_boundary"": ""candidate edge only"", ""lineage_bundle_sha",,documentation,documentation_trace
scripts/qsb_extract03/prepare_execution_package.py,14,"NAMES={""HF-01"":""freeze_psi_or_feature_state_family"",""HF-02"":""freeze_K_construction_mode"",""HF-03"":""freeze_ell0"",""HF-04"":""freeze_epsilon_Gram"",""HF-05"":""freeze_distance_to_strength_transform"",""HF-06"":""freeze_edge_threshold"",""HF-07"":""freeze_kernel_subset"",""HF-08"":",,config,theta_frozen_decision_trace
scripts/qsb_extract03/prepare_execution_package.py,75,"edgeparts=[(""theta_edge"",hf(""HF-06""),""future edge candidate"",""positive; frozen; not L2 theta""),(""edge_candidate_rule"",""edge_strength_candidate >= theta_edge"",""future K/d/D output"",""validate deterministic application""),(""edge_strength_source"",hf5,""future d cost",0.5,config,theta_frozen_decision_trace
runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/06_frozen_decision_carry_forward_review.csv,7,"HF-06,freeze_edge_threshold,0.5,human_approved_frozen,approved,False,pass,f624663a0fdff100c9b435bcb877e980961b15be71758b9c33cc3045d11f0e4a,9b242d40f34d864e4c521d873e94b3bea8f07b573386e99d617cd320d483646a",0.5,config,theta_frozen_decision_trace
runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/06_frozen_decision_carry_forward_review.csv,11,"HF-10,freeze_validation_matrix,""[""""source_selection_query_frozen"""", """"state_family_frozen"""", """"K_mode_frozen"""", """"ell0_frozen"""", """"epsilon_Gram_frozen"""", """"distance_to_strength_transform_frozen"""", """"theta_edge_frozen"""", """"kernel_subset_frozen"""", """"cluster_prot",,documentation,documentation_trace
runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/16_edge_candidate_result.csv,1,"pair_a,pair_b,strength,theta_edge,edge_candidate_flag,diagonal,claim_boundary,lineage_bundle_sha256",,csv_column,artifact_value
