record_id,source_table,source_schema,title,authors,year,venue,doi,arxiv_id,url,bibtex_key,topic_tags,abstract_or_note_excerpt,lineage_or_run_id,source_artifact_path,claim_boundary
ashtekar_reuter_rovelli2014_from_gr_to_quantum_gravity,reference_source,qsb_literature,From General Relativity to Quantum Gravity,"Ashtekar, Abhay and Reuter, Martin and Rovelli, Carlo",2014,General Relativity and Gravitation: A Centennial Survey,"",1408.4336,https://arxiv.org/abs/1408.4336,ashtekar_reuter_rovelli2014_from_gr_to_quantum_gravity,"qsb, planck-bridge, quantum-gravity-overview, dynamic-geometry, loop-quantum-gravity, asymptotic-safety, planck-regime, coarse-graining","arXiv:1408.4336v1 [gr-qc], 19 Aug 2014; chapter for General Relativity and Gravitation: A Centennial Survey.",QSB-DWH-PLANCK-BRIDGE-LIT-ADDENDUM-ASHREUROV-2014-01,qsb_planck_bridge_lit_addendum_ashreurov_2014.bib,"claim_status=motivational_reference_only; physical_claim_release=blocked_no_physics_claim; allowed_claims=The source can be cited as a motivational overview reference for dynamic quantum geometry, Planck-regime short-distance structure, and suitable-limit recovery of classical GR.; forbidden_claims=The source must not be used as evidence for the existence of Planck-Bridge-Resonators, for QSB as a confirmed theory, or for beta_B/Xi_CS as physical observables."
birrell_davies1982_quantum_fields_curved_space,reference_source,qsb_literature,Quantum Fields in Curved Space,"Birrell, N. D. and Davies, P. C. W.",1982,"",10.1017/CBO9780511622632,"",https://doi.org/10.1017/CBO9780511622632,birrell_davies1982_quantum_fields_curved_space,"qsb, qft-curved-spacetime, modes, vacuum, hawking-radiation","",QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,qsb_planck_bridge_resonator_litnote01.bib,claim_status=motivational_reference_only; physical_claim_release=blocked_no_physics_claim; allowed_claims=Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.; forbidden_claims=Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.
bombelli_lee_meyer_sorkin1987_causal_set,reference_source,qsb_literature,Space-Time as a Causal Set,"Bombelli, Luca and Lee, Joohan and Meyer, David and Sorkin, Rafael D.",1987,Physical Review Letters,10.1103/PhysRevLett.59.521,"",https://doi.org/10.1103/PhysRevLett.59.521,bombelli_lee_meyer_sorkin1987_causal_set,"qsb, emergent-spacetime, causal-set, partial-order, discreteness","",QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,qsb_planck_bridge_resonator_litnote01.bib,claim_status=motivational_reference_only; physical_claim_release=blocked_no_physics_claim; allowed_claims=Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.; forbidden_claims=Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.
devega1993_strings_curved_spacetimes,reference_source,qsb_literature,Strings in Curved Spacetimes,"de Vega, H. J.",1993,"","",hep-th/9302052,https://arxiv.org/abs/hep-th/9302052,devega1993_strings_curved_spacetimes,"qsb, sanchez-line, strings, curved-spacetime, particle-transmutation, internal-modes","Lectures delivered at the Erice School ``String Quantum Gravity and Physics at the Planck Energy Scale'', 21--28 June 1992; proceedings edited by N. S{\'a}nchez, World Scientific.",QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,qsb_planck_bridge_resonator_litnote01.bib,claim_status=motivational_reference_only; physical_claim_release=blocked_no_physics_claim; allowed_claims=Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.; forbidden_claims=Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.
devega_sanchez1987_string_quantization_curved,reference_source,qsb_literature,A New Approach to String Quantization in Curved Spacetimes,"de Vega, H. J. and S{\'a}nchez, N.",1987,Physics Letters B,10.1016/0370-2693(87)90392-3,"",https://doi.org/10.1016/0370-2693(87)90392-3,devega_sanchez1987_string_quantization_curved,"qsb, sanchez-line, strings, curved-spacetime, modes, geometry-coupling","",QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,qsb_planck_bridge_resonator_litnote01.bib,claim_status=motivational_reference_only; physical_claim_release=blocked_no_physics_claim; allowed_claims=Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.; forbidden_claims=Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.
devega_sanchez1995_lectures_string_curved_spacetimes,reference_source,qsb_literature,Lectures on String Theory in Curved Spacetimes,"de Vega, H. J. and S{\'a}nchez, N.",1995,"","",hep-th/9512074,https://arxiv.org/abs/hep-th/9512074,devega_sanchez1995_lectures_string_curved_spacetimes,"qsb, sanchez-line, strings, curved-spacetime, stable-unstable-classes, multistring-solutions",Lectures/review on string dynamics in cosmological and black-hole spacetimes.,QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,qsb_planck_bridge_resonator_litnote01.bib,claim_status=motivational_reference_only; physical_claim_release=blocked_no_physics_claim; allowed_claims=Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.; forbidden_claims=Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.
garay1995_quantum_gravity_minimum_length,reference_source,qsb_literature,Quantum Gravity and Minimum Length,"Garay, Luis J.",1995,International Journal of Modern Physics A,10.1142/S0217751X95000085,gr-qc/9403008,https://arxiv.org/abs/gr-qc/9403008,garay1995_quantum_gravity_minimum_length,"qsb, planck-boundary, minimal-length, quantum-gravity","",QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,qsb_planck_bridge_resonator_litnote01.bib,claim_status=motivational_reference_only; physical_claim_release=blocked_no_physics_claim; allowed_claims=Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.; forbidden_claims=Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.
hollands_wald2015_qft_curved_spacetime,reference_source,qsb_literature,Quantum Fields in Curved Spacetime,"Hollands, Stefan and Wald, Robert M.",2015,Physics Reports,10.1016/j.physrep.2015.02.001,1401.2026,https://arxiv.org/abs/1401.2026,hollands_wald2015_qft_curved_spacetime,"qsb, qft-curved-spacetime, local-covariance, hadamard-states, unruh-effect, hawking-effect","",QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,qsb_planck_bridge_resonator_litnote01.bib,claim_status=motivational_reference_only; physical_claim_release=blocked_no_physics_claim; allowed_claims=Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.; forbidden_claims=Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.
hossenfelder2013_minimal_length_scenarios,reference_source,qsb_literature,Minimal Length Scale Scenarios for Quantum Gravity,"Hossenfelder, Sabine",2013,Living Reviews in Relativity,10.12942/lrr-2013-2,1203.6191,https://arxiv.org/abs/1203.6191,hossenfelder2013_minimal_length_scenarios,"qsb, planck-boundary, minimal-length, finite-resolution","",QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,qsb_planck_bridge_resonator_litnote01.bib,claim_status=motivational_reference_only; physical_claim_release=blocked_no_physics_claim; allowed_claims=Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.; forbidden_claims=Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.
jacobson1995_thermodynamics_spacetime,reference_source,qsb_literature,Thermodynamics of Spacetime: The Einstein Equation of State,"Jacobson, Ted",1995,Physical Review Letters,10.1103/PhysRevLett.75.1260,gr-qc/9504004,https://arxiv.org/abs/gr-qc/9504004,jacobson1995_thermodynamics_spacetime,"qsb, emergent-spacetime, thermodynamics, horizon-entropy, einstein-equation","",QSB-DWH-PLANCK-BRIDGE-LITNOTE01-IMPORT-01,qsb_planck_bridge_resonator_litnote01.bib,claim_status=motivational_reference_only; physical_claim_release=blocked_no_physics_claim; allowed_claims=Die Quelle motiviert die Interface-Frage und wird als Literaturanker registriert.; forbidden_claims=Die Quelle beweist nicht die Existenz des Planck-Bridge-Resonators und schaltet keine physikalischen QSB-Claims frei.
