candidate_id,path,table_name,column_id,column_name,data_type,not_null,default_value,primary_key,create_sql_excerpt
dwh03_workcopy,runs/QSB-DB/QSB_DB25_CONSOLIDATED_RESEARCH_SNAPSHOT/qsb_research_dwh_target_workcopy_dwh03.db,claim_boundary_catalog,0,claim_boundary_id,INTEGER,0,,1,"CREATE TABLE claim_boundary_catalog (     claim_boundary_id INTEGER PRIMARY KEY,     object_type TEXT NOT NULL,     object_id TEXT NOT NULL,     claim_level TEXT,     physical_interpretation_allowed INTEGER NOT NULL DEFAULT 0,     residual_analysis_allowed INTEGER NOT NULL DEFAULT 0,     model_fitting_allowed INTEGER NOT NULL DEFAULT 0,     bridge_claim_allowed INTEGER NOT NULL DEFAULT 0,     value_reading_allowed INTEGER NOT NULL DEFAULT 0,     notes TEXT,     created_at TEXT NOT NULL DEFAULT C"
dwh03_workcopy,runs/QSB-DB/QSB_DB25_CONSOLIDATED_RESEARCH_SNAPSHOT/qsb_research_dwh_target_workcopy_dwh03.db,claim_boundary_catalog,1,object_type,TEXT,1,,0,"CREATE TABLE claim_boundary_catalog (     claim_boundary_id INTEGER PRIMARY KEY,     object_type TEXT NOT NULL,     object_id TEXT NOT NULL,     claim_level TEXT,     physical_interpretation_allowed INTEGER NOT NULL DEFAULT 0,     residual_analysis_allowed INTEGER NOT NULL DEFAULT 0,     model_fitting_allowed INTEGER NOT NULL DEFAULT 0,     bridge_claim_allowed INTEGER NOT NULL DEFAULT 0,     value_reading_allowed INTEGER NOT NULL DEFAULT 0,     notes TEXT,     created_at TEXT NOT NULL DEFAULT C"
dwh03_workcopy,runs/QSB-DB/QSB_DB25_CONSOLIDATED_RESEARCH_SNAPSHOT/qsb_research_dwh_target_workcopy_dwh03.db,claim_boundary_catalog,2,object_id,TEXT,1,,0,"CREATE TABLE claim_boundary_catalog (     claim_boundary_id INTEGER PRIMARY KEY,     object_type TEXT NOT NULL,     object_id TEXT NOT NULL,     claim_level TEXT,     physical_interpretation_allowed INTEGER NOT NULL DEFAULT 0,     residual_analysis_allowed INTEGER NOT NULL DEFAULT 0,     model_fitting_allowed INTEGER NOT NULL DEFAULT 0,     bridge_claim_allowed INTEGER NOT NULL DEFAULT 0,     value_reading_allowed INTEGER NOT NULL DEFAULT 0,     notes TEXT,     created_at TEXT NOT NULL DEFAULT C"
dwh03_workcopy,runs/QSB-DB/QSB_DB25_CONSOLIDATED_RESEARCH_SNAPSHOT/qsb_research_dwh_target_workcopy_dwh03.db,claim_boundary_catalog,3,claim_level,TEXT,0,,0,"CREATE TABLE claim_boundary_catalog (     claim_boundary_id INTEGER PRIMARY KEY,     object_type TEXT NOT NULL,     object_id TEXT NOT NULL,     claim_level TEXT,     physical_interpretation_allowed INTEGER NOT NULL DEFAULT 0,     residual_analysis_allowed INTEGER NOT NULL DEFAULT 0,     model_fitting_allowed INTEGER NOT NULL DEFAULT 0,     bridge_claim_allowed INTEGER NOT NULL DEFAULT 0,     value_reading_allowed INTEGER NOT NULL DEFAULT 0,     notes TEXT,     created_at TEXT NOT NULL DEFAULT C"
dwh03_workcopy,runs/QSB-DB/QSB_DB25_CONSOLIDATED_RESEARCH_SNAPSHOT/qsb_research_dwh_target_workcopy_dwh03.db,claim_boundary_catalog,4,physical_interpretation_allowed,INTEGER,1,0,0,"CREATE TABLE claim_boundary_catalog (     claim_boundary_id INTEGER PRIMARY KEY,     object_type TEXT NOT NULL,     object_id TEXT NOT NULL,     claim_level TEXT,     physical_interpretation_allowed INTEGER NOT NULL DEFAULT 0,     residual_analysis_allowed INTEGER NOT NULL DEFAULT 0,     model_fitting_allowed INTEGER NOT NULL DEFAULT 0,     bridge_claim_allowed INTEGER NOT NULL DEFAULT 0,     value_reading_allowed INTEGER NOT NULL DEFAULT 0,     notes TEXT,     created_at TEXT NOT NULL DEFAULT C"
dwh03_workcopy,runs/QSB-DB/QSB_DB25_CONSOLIDATED_RESEARCH_SNAPSHOT/qsb_research_dwh_target_workcopy_dwh03.db,claim_boundary_catalog,5,residual_analysis_allowed,INTEGER,1,0,0,"CREATE TABLE claim_boundary_catalog (     claim_boundary_id INTEGER PRIMARY KEY,     object_type TEXT NOT NULL,     object_id TEXT NOT NULL,     claim_level TEXT,     physical_interpretation_allowed INTEGER NOT NULL DEFAULT 0,     residual_analysis_allowed INTEGER NOT NULL DEFAULT 0,     model_fitting_allowed INTEGER NOT NULL DEFAULT 0,     bridge_claim_allowed INTEGER NOT NULL DEFAULT 0,     value_reading_allowed INTEGER NOT NULL DEFAULT 0,     notes TEXT,     created_at TEXT NOT NULL DEFAULT C"
dwh03_workcopy,runs/QSB-DB/QSB_DB25_CONSOLIDATED_RESEARCH_SNAPSHOT/qsb_research_dwh_target_workcopy_dwh03.db,claim_boundary_catalog,6,model_fitting_allowed,INTEGER,1,0,0,"CREATE TABLE claim_boundary_catalog (     claim_boundary_id INTEGER PRIMARY KEY,     object_type TEXT NOT NULL,     object_id TEXT NOT NULL,     claim_level TEXT,     physical_interpretation_allowed INTEGER NOT NULL DEFAULT 0,     residual_analysis_allowed INTEGER NOT NULL DEFAULT 0,     model_fitting_allowed INTEGER NOT NULL DEFAULT 0,     bridge_claim_allowed INTEGER NOT NULL DEFAULT 0,     value_reading_allowed INTEGER NOT NULL DEFAULT 0,     notes TEXT,     created_at TEXT NOT NULL DEFAULT C"
dwh03_workcopy,runs/QSB-DB/QSB_DB25_CONSOLIDATED_RESEARCH_SNAPSHOT/qsb_research_dwh_target_workcopy_dwh03.db,claim_boundary_catalog,7,bridge_claim_allowed,INTEGER,1,0,0,"CREATE TABLE claim_boundary_catalog (     claim_boundary_id INTEGER PRIMARY KEY,     object_type TEXT NOT NULL,     object_id TEXT NOT NULL,     claim_level TEXT,     physical_interpretation_allowed INTEGER NOT NULL DEFAULT 0,     residual_analysis_allowed INTEGER NOT NULL DEFAULT 0,     model_fitting_allowed INTEGER NOT NULL DEFAULT 0,     bridge_claim_allowed INTEGER NOT NULL DEFAULT 0,     value_reading_allowed INTEGER NOT NULL DEFAULT 0,     notes TEXT,     created_at TEXT NOT NULL DEFAULT C"
dwh03_workcopy,runs/QSB-DB/QSB_DB25_CONSOLIDATED_RESEARCH_SNAPSHOT/qsb_research_dwh_target_workcopy_dwh03.db,claim_boundary_catalog,8,value_reading_allowed,INTEGER,1,0,0,"CREATE TABLE claim_boundary_catalog (     claim_boundary_id INTEGER PRIMARY KEY,     object_type TEXT NOT NULL,     object_id TEXT NOT NULL,     claim_level TEXT,     physical_interpretation_allowed INTEGER NOT NULL DEFAULT 0,     residual_analysis_allowed INTEGER NOT NULL DEFAULT 0,     model_fitting_allowed INTEGER NOT NULL DEFAULT 0,     bridge_claim_allowed INTEGER NOT NULL DEFAULT 0,     value_reading_allowed INTEGER NOT NULL DEFAULT 0,     notes TEXT,     created_at TEXT NOT NULL DEFAULT C"
dwh03_workcopy,runs/QSB-DB/QSB_DB25_CONSOLIDATED_RESEARCH_SNAPSHOT/qsb_research_dwh_target_workcopy_dwh03.db,claim_boundary_catalog,9,notes,TEXT,0,,0,"CREATE TABLE claim_boundary_catalog (     claim_boundary_id INTEGER PRIMARY KEY,     object_type TEXT NOT NULL,     object_id TEXT NOT NULL,     claim_level TEXT,     physical_interpretation_allowed INTEGER NOT NULL DEFAULT 0,     residual_analysis_allowed INTEGER NOT NULL DEFAULT 0,     model_fitting_allowed INTEGER NOT NULL DEFAULT 0,     bridge_claim_allowed INTEGER NOT NULL DEFAULT 0,     value_reading_allowed INTEGER NOT NULL DEFAULT 0,     notes TEXT,     created_at TEXT NOT NULL DEFAULT C"
