run_id,candidate_id,candidate_variable_name,alias_reference,alias_risk_level,independence_status,claim_implication
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,CAND-0001,candidate_term_match,unknown,unknown,unknown_requires_lineage,candidate_only_no_independence_claim
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,CAND-0002,mode_or_frequency,unknown,unknown,unknown_requires_lineage,candidate_only_no_independence_claim
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,CAND-0003,delta_phi_or_phase,unknown,high,unknown_requires_lineage,candidate_only_no_independence_claim
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,CAND-0004,delta_phi_or_phase,unknown,high,unknown_requires_lineage,candidate_only_no_independence_claim
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,CAND-0005,delta_phi_or_phase,unknown,high,unknown_requires_lineage,candidate_only_no_independence_claim
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,CAND-0006,delta_phi_or_phase,unknown,high,unknown_requires_lineage,candidate_only_no_independence_claim
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,CAND-0007,delta_phi_or_phase,unknown,high,unknown_requires_lineage,candidate_only_no_independence_claim
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,CAND-0008,delta_phi_or_phase,unknown,high,unknown_requires_lineage,candidate_only_no_independence_claim
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,CAND-0009,delta_phi_or_phase,unknown,high,unknown_requires_lineage,candidate_only_no_independence_claim
QSB-PLANCK-BRIDGE-RESONATOR-INPUT-ARTIFACT-ENRICHMENT-DWH-REPO-SCOUT-01,CAND-0010,delta_phi_or_phase,unknown,high,unknown_requires_lineage,candidate_only_no_independence_claim
