run_id,sample_id,seed,structure_preserved_under_relabeling,label_permutation
QSB-PLANCK-BRIDGE-RESONATOR-LAG-MECHANISM-EXECUTION-01,1,2026070803,true,"[3, 2, 4, 0, 6, 5, 1]"
QSB-PLANCK-BRIDGE-RESONATOR-LAG-MECHANISM-EXECUTION-01,2,2026070804,true,"[0, 4, 6, 2, 5, 3, 1]"
QSB-PLANCK-BRIDGE-RESONATOR-LAG-MECHANISM-EXECUTION-01,3,2026070805,true,"[0, 5, 2, 4, 1, 3, 6]"
QSB-PLANCK-BRIDGE-RESONATOR-LAG-MECHANISM-EXECUTION-01,4,2026070806,true,"[2, 0, 4, 3, 5, 1, 6]"
QSB-PLANCK-BRIDGE-RESONATOR-LAG-MECHANISM-EXECUTION-01,5,2026070807,true,"[2, 3, 0, 5, 1, 4, 6]"
QSB-PLANCK-BRIDGE-RESONATOR-LAG-MECHANISM-EXECUTION-01,6,2026070808,true,"[0, 2, 6, 3, 4, 5, 1]"
QSB-PLANCK-BRIDGE-RESONATOR-LAG-MECHANISM-EXECUTION-01,7,2026070809,true,"[2, 6, 3, 5, 4, 0, 1]"
QSB-PLANCK-BRIDGE-RESONATOR-LAG-MECHANISM-EXECUTION-01,8,2026070810,true,"[3, 6, 1, 5, 0, 2, 4]"
QSB-PLANCK-BRIDGE-RESONATOR-LAG-MECHANISM-EXECUTION-01,9,2026070811,true,"[2, 5, 1, 6, 3, 4, 0]"
QSB-PLANCK-BRIDGE-RESONATOR-LAG-MECHANISM-EXECUTION-01,10,2026070812,true,"[2, 0, 6, 3, 5, 4, 1]"
QSB-PLANCK-BRIDGE-RESONATOR-LAG-MECHANISM-EXECUTION-01,11,2026070813,true,"[3, 2, 4, 1, 6, 0, 5]"
QSB-PLANCK-BRIDGE-RESONATOR-LAG-MECHANISM-EXECUTION-01,12,2026070814,true,"[5, 2, 1, 3, 6, 0, 4]"
QSB-PLANCK-BRIDGE-RESONATOR-LAG-MECHANISM-EXECUTION-01,13,2026070815,true,"[3, 6, 2, 4, 0, 1, 5]"
QSB-PLANCK-BRIDGE-RESONATOR-LAG-MECHANISM-EXECUTION-01,14,2026070816,true,"[2, 0, 1, 5, 6, 3, 4]"
QSB-PLANCK-BRIDGE-RESONATOR-LAG-MECHANISM-EXECUTION-01,15,2026070817,true,"[3, 6, 5, 4, 1, 0, 2]"
QSB-PLANCK-BRIDGE-RESONATOR-LAG-MECHANISM-EXECUTION-01,16,2026070818,true,"[6, 2, 3, 0, 1, 4, 5]"
QSB-PLANCK-BRIDGE-RESONATOR-LAG-MECHANISM-EXECUTION-01,17,2026070819,true,"[0, 2, 3, 5, 4, 1, 6]"
QSB-PLANCK-BRIDGE-RESONATOR-LAG-MECHANISM-EXECUTION-01,18,2026070820,true,"[6, 2, 0, 3, 5, 4, 1]"
QSB-PLANCK-BRIDGE-RESONATOR-LAG-MECHANISM-EXECUTION-01,19,2026070821,true,"[3, 6, 0, 2, 5, 1, 4]"
QSB-PLANCK-BRIDGE-RESONATOR-LAG-MECHANISM-EXECUTION-01,20,2026070822,true,"[6, 0, 5, 4, 3, 1, 2]"
