run_id,pair_id_a,pair_id_b,row_index,column_index,K_candidate,relation_type
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|1,1|0,0,6,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|1,2|1,0,13,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|1,3|2,0,20,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|1,4|3,0,27,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|1,5|4,0,34,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|1,6|5,0,41,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|2,2|0,1,12,-1,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|2,3|1,1,19,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|2,4|2,1,26,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|2,5|3,1,33,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|2,6|4,1,40,-1,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|3,3|0,2,18,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|3,4|1,2,25,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|3,5|2,2,32,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|3,6|3,2,39,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|4,4|0,3,24,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|4,5|1,3,31,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|4,6|2,3,38,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|5,5|0,4,30,-1,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|5,6|1,4,37,-1,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|6,6|0,5,36,-1,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|0,1|2,6,7,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|0,2|3,6,14,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|0,3|4,6,21,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|0,4|5,6,28,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|0,5|6,6,35,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|2,2|1,7,13,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|2,3|2,7,20,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|2,4|3,7,27,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|2,5|4,7,34,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|2,6|5,7,41,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|3,2|0,8,12,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|3,3|1,8,19,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|3,4|2,8,26,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|3,5|3,8,33,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|3,6|4,8,40,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|4,3|0,9,18,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|4,4|1,9,25,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|4,5|2,9,32,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|4,6|3,9,39,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|5,4|0,10,24,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|5,5|1,10,31,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|5,6|2,10,38,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|6,5|0,11,30,-1,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|6,6|1,11,37,-1,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|0,2|4,12,15,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|0,3|5,12,22,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|0,4|6,12,29,-1,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|1,2|3,13,14,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|1,3|4,13,21,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|1,4|5,13,28,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|1,5|6,13,35,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|3,3|2,14,20,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|3,4|3,14,27,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|3,5|4,14,34,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|3,6|5,14,41,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|4,3|1,15,19,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|4,4|2,15,26,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|4,5|3,15,33,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|4,6|4,15,40,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|5,3|0,16,18,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|5,4|1,16,25,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|5,5|2,16,32,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|5,6|3,16,39,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|6,4|0,17,24,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|6,5|1,17,31,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|6,6|2,17,38,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|0,3|6,18,23,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|1,3|5,19,22,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|1,4|6,19,29,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|2,3|4,20,21,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|2,4|5,20,28,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|2,5|6,20,35,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|4,4|3,21,27,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|4,5|4,21,34,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|4,6|5,21,41,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|5,4|2,22,26,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|5,5|3,22,33,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|5,6|4,22,40,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|6,4|1,23,25,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|6,5|2,23,32,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|6,6|3,23,39,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,4|2,4|6,26,29,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,4|3,4|5,27,28,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,4|3,5|6,27,35,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,4|5,5|4,28,34,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,4|5,6|5,28,41,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,4|6,5|3,29,33,-0.99999999999999989,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,4|6,6|4,29,40,-1,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,5|4,5|6,34,35,-0.99999999999999978,antiparallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,5|6,6|5,35,41,-0.99999999999999978,antiparallel
