run_id,pair_id,i,j,lag,abs_lag,direction,lag_axis
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|1,0,1,1,1,+,L1
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|2,0,2,2,2,+,L2
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|3,0,3,3,3,+,L3
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|4,0,4,4,4,+,L4
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|5,0,5,5,5,+,L5
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|6,0,6,6,6,+,L6
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|0,1,0,-1,1,-,L1
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|2,1,2,1,1,+,L1
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|3,1,3,2,2,+,L2
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|4,1,4,3,3,+,L3
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|5,1,5,4,4,+,L4
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|6,1,6,5,5,+,L5
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|0,2,0,-2,2,-,L2
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|1,2,1,-1,1,-,L1
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|3,2,3,1,1,+,L1
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|4,2,4,2,2,+,L2
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|5,2,5,3,3,+,L3
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,2|6,2,6,4,4,+,L4
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|0,3,0,-3,3,-,L3
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|1,3,1,-2,2,-,L2
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|2,3,2,-1,1,-,L1
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|4,3,4,1,1,+,L1
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|5,3,5,2,2,+,L2
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,3|6,3,6,3,3,+,L3
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,4|0,4,0,-4,4,-,L4
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,4|1,4,1,-3,3,-,L3
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,4|2,4,2,-2,2,-,L2
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,4|3,4,3,-1,1,-,L1
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,4|5,4,5,1,1,+,L1
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,4|6,4,6,2,2,+,L2
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,5|0,5,0,-5,5,-,L5
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,5|1,5,1,-4,4,-,L4
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,5|2,5,2,-3,3,-,L3
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,5|3,5,3,-2,2,-,L2
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,5|4,5,4,-1,1,-,L1
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,5|6,5,6,1,1,+,L1
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,6|0,6,0,-6,6,-,L6
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,6|1,6,1,-5,5,-,L5
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,6|2,6,2,-4,4,-,L4
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,6|3,6,3,-3,3,-,L3
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,6|4,6,4,-2,2,-,L2
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,6|5,6,5,-1,1,-,L1
