run_id,pair_id_a,pair_id_b,row_index,column_index,K_candidate,relation_type
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|1,1|2,0,7,0.99999999999999989,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|1,2|3,0,14,0.99999999999999989,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|1,3|4,0,21,0.99999999999999989,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|1,4|5,0,28,0.99999999999999989,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|1,5|6,0,35,0.99999999999999989,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|2,1|3,1,8,0.99999999999999967,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|2,2|4,1,15,0.99999999999999967,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|2,3|5,1,22,0.99999999999999967,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|2,4|6,1,29,0.99999999999999989,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|3,1|4,2,9,0.99999999999999989,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|3,2|5,2,16,0.99999999999999989,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|3,3|6,2,23,0.99999999999999989,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|4,1|5,3,10,1.0000000000000002,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|4,2|6,3,17,1.0000000000000002,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,0|5,1|6,4,11,1,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|0,2|1,6,13,0.99999999999999989,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|0,3|2,6,20,0.99999999999999989,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|0,4|3,6,27,0.99999999999999989,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|0,5|4,6,34,0.99999999999999989,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|0,6|5,6,41,0.99999999999999989,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|2,2|3,7,14,0.99999999999999978,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|2,3|4,7,21,0.99999999999999978,parallel
QSB-PLANCK-BRIDGE-RESONATOR-SPECTRAL-READOUT-01,1|2,4|5,7,28,0.99999999999999978,parallel
