run_id,field_name,field_type,required,definition
QSB-PLANCK-BRIDGE-RESONATOR-STATE-SPEC-01,matrix_id,text,yes,"Unique identifier for candidate matrix."
QSB-PLANCK-BRIDGE-RESONATOR-STATE-SPEC-01,matrix_source,text,yes,"Path, table or artifact source of the matrix."
QSB-PLANCK-BRIDGE-RESONATOR-STATE-SPEC-01,n,integer,yes,"Matrix dimension if square."
QSB-PLANCK-BRIDGE-RESONATOR-STATE-SPEC-01,is_square,boolean,yes,"Whether matrix is square."
QSB-PLANCK-BRIDGE-RESONATOR-STATE-SPEC-01,is_hermitian,boolean,yes,"Whether matrix equals conjugate transpose within tolerance."
QSB-PLANCK-BRIDGE-RESONATOR-STATE-SPEC-01,max_hermitian_deviation,numeric,yes,"Maximum absolute deviation from Hermitian/symmetric condition."
QSB-PLANCK-BRIDGE-RESONATOR-STATE-SPEC-01,min_diagonal,numeric,yes,"Minimum real diagonal entry."
QSB-PLANCK-BRIDGE-RESONATOR-STATE-SPEC-01,lambda_min,numeric,yes,"Smallest eigenvalue of Hermitian part / candidate matrix."
QSB-PLANCK-BRIDGE-RESONATOR-STATE-SPEC-01,lambda_max,numeric,yes,"Largest eigenvalue of Hermitian part / candidate matrix."
QSB-PLANCK-BRIDGE-RESONATOR-STATE-SPEC-01,negative_eigenvalue_count,integer,yes,"Count of eigenvalues below negative tolerance."
QSB-PLANCK-BRIDGE-RESONATOR-STATE-SPEC-01,negative_eigenvalue_mass,numeric,yes,"Sum of absolute values of eigenvalues below negative tolerance."
QSB-PLANCK-BRIDGE-RESONATOR-STATE-SPEC-01,tolerance,numeric,yes,"Numerical tolerance used for the PSD gate."
QSB-PLANCK-BRIDGE-RESONATOR-STATE-SPEC-01,psd_pass,boolean,yes,"Whether PSD gate passes within tolerance."
QSB-PLANCK-BRIDGE-RESONATOR-STATE-SPEC-01,admissibility_result,text,yes,"pass / fail / conditional / not_tested."
