source_artifact_id,dataset_id,source_run_id,file_name,file_path,size_bytes,sha256,row_count,columns_json,lineage_role,validation_status,claim_boundary
artifact_04_sparc_rar_data_contract_summary_json,SPARC_RAR_LELLI2016C_BASELINE_REGISTERED,QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT,04_sparc_rar_data_contract_summary.json,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT/04_sparc_rar_data_contract_summary.json,1400,a463d7707b96b097c240091db2a60550aa80f3245340802b971c48d594baa249,,[],predecessor_validated_artifact,registered,metadata_registration
artifact_05_input_file_inventory_csv,SPARC_RAR_LELLI2016C_BASELINE_REGISTERED,QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT,05_input_file_inventory.csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT/05_input_file_inventory.csv,1288,f351ea7835798fce409f0049d6ab220e9991a6dc020c1418ee26ead4768fd7c2,4,"[""file_path"", ""file_name"", ""file_size_bytes"", ""sha256"", ""extension"", ""line_count_if_text"", ""detected_delimiter"", ""header_detected"", ""header_columns"", ""read_status"", ""notes""]",predecessor_validated_artifact,registered,metadata_registration
artifact_06_input_file_checksums_csv,SPARC_RAR_LELLI2016C_BASELINE_REGISTERED,QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT,06_input_file_checksums.csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT/06_input_file_checksums.csv,720,2ff51052780a35482c39650f800732c46167e17a5be1ac6d4891bfd57455eed8,4,"[""file_path"", ""sha256"", ""checksum_algorithm"", ""lineage_role""]",predecessor_validated_artifact,registered,metadata_registration
artifact_08_detected_column_inventory_csv,SPARC_RAR_LELLI2016C_BASELINE_REGISTERED,QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT,08_detected_column_inventory.csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT/08_detected_column_inventory.csv,1642,83b509c43158e750ef7501519fb2e61745123986e151e3633c88aec6c792b9b9,33,"[""detected_column"", ""matched_expected_column"", ""sparc_relevance"", ""presence_status"", ""claim_boundary""]",predecessor_validated_artifact,registered,metadata_registration
artifact_09_sparc_expected_column_mapping_csv,SPARC_RAR_LELLI2016C_BASELINE_REGISTERED,QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT,09_sparc_expected_column_mapping.csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT/09_sparc_expected_column_mapping.csv,2625,27006de806ef128526b358d77384589c400e9af05a7c4d9da9ba83ae19f8794a,25,"[""expected_column_or_synonym"", ""presence_status"", ""matched_detected_column"", ""role"", ""notes""]",predecessor_validated_artifact,registered,metadata_registration
artifact_13_data_lineage_contract_md,SPARC_RAR_LELLI2016C_BASELINE_REGISTERED,QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT,13_data_lineage_contract.md,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT/13_data_lineage_contract.md,562,5579c6b9b12ef25f3dd944024c5f3bdb186444429b5827be6140becf3b15a4a2,,[],predecessor_validated_artifact,registered,metadata_registration
artifact_04_data_contract_review_summary_json,SPARC_RAR_LELLI2016C_BASELINE_REGISTERED,QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT-REVIEW,04_data_contract_review_summary.json,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT-REVIEW/04_data_contract_review_summary.json,1521,9566bd8a99f0fe6e6b4bb55dd5a96d7404fbb8013d8277d88344a398e28f9253,,[],predecessor_validated_artifact,registered,metadata_registration
artifact_06_checksum_revalidation_csv,SPARC_RAR_LELLI2016C_BASELINE_REGISTERED,QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT-REVIEW,06_checksum_revalidation.csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT-REVIEW/06_checksum_revalidation.csv,924,0a6e804823297cd1c04c00a7ea5b9ebb107f18fb31ef98ce92f5075e5ef2043d,4,"[""file_path"", ""expected_sha256"", ""actual_sha256"", ""checksum_match"", ""review_status""]",predecessor_validated_artifact,registered,metadata_registration
artifact_09_mrt_structure_review_csv,SPARC_RAR_LELLI2016C_BASELINE_REGISTERED,QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT-REVIEW,09_mrt_structure_review.csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT-REVIEW/09_mrt_structure_review.csv,767,0f3d96aa2e869d6e3cea34d818f182e4c49687087204420da52ca0d17586e594,4,"[""file_path"", ""mrt_header_present"", ""byte_by_byte_description_present"", ""data_rows_detected"", ""column_labels_detected"", ""sample_rows_plausible"", ""read_status""]",predecessor_validated_artifact,registered,metadata_registration
artifact_13_data_contract_freeze_decision_csv,SPARC_RAR_LELLI2016C_BASELINE_REGISTERED,QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT-REVIEW,13_data_contract_freeze_decision.csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT-REVIEW/13_data_contract_freeze_decision.csv,394,1fea782e831be00a026a7575e0e0c7f10cb4d2a2e963472064735042ecb22044,3,"[""decision_item"", ""result"", ""evidence"", ""claim_boundary""]",predecessor_validated_artifact,registered,metadata_registration
artifact_04_baseline_rar_reproduction_summary_json,SPARC_RAR_LELLI2016C_BASELINE_REGISTERED,QSB-SPARC-RAR-RESIDUAL-SCOUT-01-BASELINE-RAR-REPRODUCTION,04_baseline_rar_reproduction_summary.json,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-BASELINE-RAR-REPRODUCTION/04_baseline_rar_reproduction_summary.json,1473,47b1adeb75cee4cdcbe03e19d66663e503a2aa32897c9b6fa25ea43311895af9,,[],predecessor_validated_artifact,registered,baseline_registration
artifact_12_column_mapping_used_csv,SPARC_RAR_LELLI2016C_BASELINE_REGISTERED,QSB-SPARC-RAR-RESIDUAL-SCOUT-01-BASELINE-RAR-REPRODUCTION,12_column_mapping_used.csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-BASELINE-RAR-REPRODUCTION/12_column_mapping_used.csv,3681,2b92a0808a9317a45550b93499d387b21e1cc56ab68f72f0f50dc77dacb285a3,36,"[""source_file"", ""column_label"", ""unit"", ""used_for"", ""claim_boundary""]",predecessor_validated_artifact,registered,baseline_registration
artifact_13_unit_conversion_contract_csv,SPARC_RAR_LELLI2016C_BASELINE_REGISTERED,QSB-SPARC-RAR-RESIDUAL-SCOUT-01-BASELINE-RAR-REPRODUCTION,13_unit_conversion_contract.csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-BASELINE-RAR-REPRODUCTION/13_unit_conversion_contract.csv,451,29502fa92b49d4c20fdcc4de857656a8c42b7361ef56b710c466b9b35159d555,4,"[""quantity"", ""source"", ""input_unit"", ""conversion"", ""performed""]",predecessor_validated_artifact,registered,baseline_registration
artifact_14_direct_rar_dataset_csv,SPARC_RAR_LELLI2016C_BASELINE_REGISTERED,QSB-SPARC-RAR-RESIDUAL-SCOUT-01-BASELINE-RAR-REPRODUCTION,14_direct_rar_dataset.csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-BASELINE-RAR-REPRODUCTION/14_direct_rar_dataset.csv,302247,e773a8f547a70d1024a84fd4b2b319f24bc9fb4f5e8e2992f471ff6ae1c0dbe4,2693,"[""row_id"", ""log10_gbar_m_per_s2"", ""e_log10_gbar"", ""log10_gobs_m_per_s2"", ""e_log10_gobs"", ""gbar_m_per_s2"", ""gobs_m_per_s2"", ""source_table"", ""claim_boundary""]",predecessor_validated_artifact,registered,baseline_registration
artifact_15_massmodels_derived_baseline_quantities_csv,SPARC_RAR_LELLI2016C_BASELINE_REGISTERED,QSB-SPARC-RAR-RESIDUAL-SCOUT-01-BASELINE-RAR-REPRODUCTION,15_massmodels_derived_baseline_quantities.csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-BASELINE-RAR-REPRODUCTION/15_massmodels_derived_baseline_quantities.csv,652384,58084b05476b3daf9ebcf838be05bacdcf2e47b6f215f014bdfb80bd33acf661,3392,"[""row_id"", ""galaxy_id"", ""radius_kpc"", ""vobs_km_s"", ""vgas_km_s"", ""vdisk_km_s_ml1"", ""vbul_km_s_ml1"", ""gobs_m_per_s2"", ""log10_gobs"", ""vbar_ml1_km_s_preparatory"", ""gbar_status"", ""mass_to_light_assumption_required"", ""claim_boundary""]",predecessor_validated_artifact,registered,baseline_registration
artifact_18_baseline_reproduction_readout_csv,SPARC_RAR_LELLI2016C_BASELINE_REGISTERED,QSB-SPARC-RAR-RESIDUAL-SCOUT-01-BASELINE-RAR-REPRODUCTION,18_baseline_reproduction_readout.csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-BASELINE-RAR-REPRODUCTION/18_baseline_reproduction_readout.csv,495,a08decc68b95be8b9279d9ba9f44a2fe2953ccd7430d3eddea1b67e24265e265,5,"[""readout_item"", ""value"", ""notes""]",predecessor_validated_artifact,registered,baseline_registration
artifact_25_massmodels_vs_direct_rar_comparison_csv,SPARC_RAR_LELLI2016C_BASELINE_REGISTERED,QSB-SPARC-RAR-RESIDUAL-SCOUT-01-BASELINE-RAR-REPRODUCTION,25_massmodels_vs_direct_rar_comparison.csv,runs/QSB-SPARC-RAR-RESIDUAL-SCOUT-01-BASELINE-RAR-REPRODUCTION/25_massmodels_vs_direct_rar_comparison.csv,222,6b7f71cd5b1df266aca40c2ea660b970b887a2fb3515c030baee2f0b7b8bf25a,1,"[""comparison_item"", ""status"", ""notes"", ""claim_boundary""]",predecessor_validated_artifact,registered,baseline_registration
