database_path,table_name,column_id,column_name,declared_type,not_null,default_value,primary_key
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact,0,artifact_id,TEXT,0,,1
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact,1,title,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact,2,artifact_type,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact,3,semantic_role,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact,4,mime_type,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact,5,file_extension,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact,6,canonical_path,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact,7,uri,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact,8,content_hash,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact,9,hash_algorithm,TEXT,1,'sha256',0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact,10,size_bytes,INTEGER,0,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact,11,created_at,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact,12,created_by,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact,13,source_system,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact,14,status,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact,15,visibility,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact,16,notes,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_alias,0,alias_id,TEXT,0,,1
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_alias,1,artifact_id,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_alias,2,alias,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_alias,3,language,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_alias,4,alias_type,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_alias,5,status,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_claim_boundary,0,boundary_id,TEXT,0,,1
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_claim_boundary,1,artifact_id,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_claim_boundary,2,admissible_use,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_claim_boundary,3,forbidden_use,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_claim_boundary,4,overclaim_risk,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_claim_boundary,5,review_status,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_claim_boundary,6,notes,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_export,0,export_id,TEXT,0,,1
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_export,1,artifact_id,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_export,2,export_type,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_export,3,output_path,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_export,4,generated_at,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_export,5,generator_name,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_export,6,generator_version,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_export,7,content_hash,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_export,8,download_label,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_export,9,status,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_lineage,0,lineage_id,TEXT,0,,1
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_lineage,1,artifact_id,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_lineage,2,source_type,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_lineage,3,source_ref,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_lineage,4,source_artifact_id,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_lineage,5,source_table,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_lineage,6,source_query,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_lineage,7,run_id,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_lineage,8,evidence_role,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_lineage,9,transformation_summary,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_lineage,10,status,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_relation,0,relation_id,TEXT,0,,1
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_relation,1,source_artifact_id,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_relation,2,target_artifact_id,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_relation,3,relation_type,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_relation,4,relation_label,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_relation,5,status,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_review,0,review_id,TEXT,0,,1
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_review,1,artifact_id,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_review,2,reviewer_role,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_review,3,review_status,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_review,4,review_note,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_review,5,reviewed_at,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_text_index,0,text_index_id,TEXT,0,,1
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_text_index,1,artifact_id,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_text_index,2,text_role,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_text_index,3,language,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_text_index,4,extracted_text_path,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_text_index,5,text_hash,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_text_index,6,excerpt,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_text_index,7,extraction_method,TEXT,0,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_text_index,8,extraction_status,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_validation_result,0,validation_id,TEXT,0,,1
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_validation_result,1,rule_id,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_validation_result,2,severity,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_validation_result,3,status,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_validation_result,4,message,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_validation_result,5,checked_at,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_version,0,artifact_version_id,TEXT,0,,1
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_version,1,artifact_id,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_version,2,version,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_version,3,canonical_path,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_version,4,content_hash,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_version,5,generated_at,TEXT,1,,0
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,qsb_artifact_version,6,generator_name,TEXT,0,,0
