database_path,table_count,matched_required_tables,compatibility_status,mutation_status
data/QSB-OUTREACH01A/001_qsb_outreach01a_sqlite_dwh_ddl.sql,,,read_error,read_only_not_mutated: file is not a database
data/QSB-OUTREACH01A/002_qsb_outreach01a_sqlite_views.sql,,,read_error,read_only_not_mutated: file is not a database
runs/QSB-ARTIFACT01-DWH-A/qsb_artifact01.sqlite,10,,partial_or_unrelated_schema,read_only_not_mutated
runs/QSB-ARTIFACT01-DWH-B/qsb_artifact01_viz.sqlite,10,,partial_or_unrelated_schema,read_only_not_mutated
runs/QSB-ARTIFACT01-DWH-B1/qsb_artifact01_viz_panel.sqlite,10,,partial_or_unrelated_schema,read_only_not_mutated
runs/QSB-CORRCORE01/metadata_catalog_update/qsb_metadata_catalog_corrcore01.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/QSB-DB/QSB_DB06_EMPTY_DATABASE/sqlite_empty_database_config_resolved.json,,,read_error,read_only_not_mutated: file is not a database
runs/QSB-DB/QSB_DB06_EMPTY_DATABASE/sqlite_empty_database_creation_summary.json,,,read_error,read_only_not_mutated: file is not a database
runs/QSB-DB/QSB_DB06_EMPTY_DATABASE/sqlite_empty_database_fk_report.csv,,,read_error,read_only_not_mutated: file is not a database
runs/QSB-DB/QSB_DB06_EMPTY_DATABASE/sqlite_empty_database_readout.md,,,read_error,read_only_not_mutated: file is not a database
runs/QSB-DB/QSB_DB06_EMPTY_DATABASE/sqlite_empty_database_schema_indexes.csv,,,read_error,read_only_not_mutated: file is not a database
runs/QSB-DB/QSB_DB06_EMPTY_DATABASE/sqlite_empty_database_schema_tables.csv,,,read_error,read_only_not_mutated: file is not a database
runs/QSB-EXTRACT03-C1-R1/bootstrap_stability_run_under_c0_c0b/23_extract03c1r1_result_mart.sqlite,16,,partial_or_unrelated_schema,read_only_not_mutated
runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/21_extract03a_r1_result_mart.sqlite,14,,partial_or_unrelated_schema,read_only_not_mutated
runs/QSB-EXTRACT03M-RG/registry_dwh_integration_snapshot/30_registry_snapshot.sqlite,7,,partial_or_unrelated_schema,read_only_not_mutated
runs/QSB-EXTRACT03O-RG/registry_boundary_update_snapshot/30_boundary_registry_snapshot.sqlite,7,,partial_or_unrelated_schema,read_only_not_mutated
runs/QSB-EXTRACT03P-R1/narrow_real_data_source_configuration_lineage_audit/32_readonly_sqlite_integrity_checks.csv,,,read_error,read_only_not_mutated: file is not a database
runs/QSB-GAP02A/source_hub_schema_dry_run_loader/qsb_source_hub_dry_run.sqlite,7,,partial_or_unrelated_schema,read_only_not_mutated
runs/QSB-GAP02C/source_hub_schema_hardening/qsb_source_hub_hardened_dry_run.sqlite,7,,partial_or_unrelated_schema,read_only_not_mutated
runs/QSB-INTERFACE01F3/authorized_delta_phi_export_staging_preflight/09_delta_phi_staging_preflight.sqlite,4,,partial_or_unrelated_schema,read_only_not_mutated
runs/QSB-INTERFACE01F3/authorized_delta_phi_export_staging_preflight_blocked_diag_literal_20260620T102310Z/09_delta_phi_staging_preflight.sqlite,4,,partial_or_unrelated_schema,read_only_not_mutated
runs/QSB-INTERFACE01F3/authorized_delta_phi_export_staging_preflight_blocked_diag_policy_20260620T101958Z/09_delta_phi_staging_preflight.sqlite,4,,partial_or_unrelated_schema,read_only_not_mutated
runs/QSB-INTERFACE01F3/authorized_delta_phi_export_staging_preflight_blocked_manifest_schema_20260620T101650Z/09_delta_phi_staging_preflight.sqlite,4,,partial_or_unrelated_schema,read_only_not_mutated
runs/QSB-INTERFACE01F3/authorized_delta_phi_export_staging_preflight_blocked_no_export_20260620T101320Z/09_delta_phi_staging_preflight.sqlite,4,,partial_or_unrelated_schema,read_only_not_mutated
runs/QSB-MAP01-DWH-A/qsb_map01.sqlite,8,,partial_or_unrelated_schema,read_only_not_mutated
runs/QSB-MATERIAL01/typb_materialsensitive_signature_mart_intake/material01_typb_signature_mart.sqlite,7,,partial_or_unrelated_schema,read_only_not_mutated
runs/QSB-META01-03/causality07_pilot_metadata/qsb_metadata_catalog.sqlite,23,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/QSB-META02/metadata_catalog_update/qsb_metadata_catalog_meta02.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/QSB-SPARC-RAR-DWH-ETL-METADATA-REGISTRATION-01/31_sqlite_integrity_check.txt,,,read_error,read_only_not_mutated: file is not a database
runs/QSB-ST-COMP01D1K/deterministic_synthetic_phase_field_exposure_open/d1k_phase_view_sandbox.sqlite,2,,partial_or_unrelated_schema,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_084110_074312.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_084110_085064.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_084110_240951.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_084132_259016.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_084341_524301.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_085730_909288.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_085730_960134.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_085757_322437.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_085757_873525.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_085909_003189.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_085909_051044.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_090032_378440.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_091001_712278.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_091046_352336.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_225400_015415.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_225400_556965.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_225415_162937.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_225415_190301.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_225541_276654.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
