claim_boundary,claim_status
sparc_rar_dwh_etl,allowed_boundary
metadata_registration,allowed_boundary
raw_data_preservation,allowed_boundary
checksum_revalidation,allowed_boundary
staging_load,allowed_boundary
canonical_load,allowed_boundary
baseline_registration,allowed_boundary
dwh_search_enablement,allowed_boundary
methodological_preparation_only,allowed_boundary
no_qsb_detection_claim,explicit_no_go
no_dark_matter_claim,explicit_no_go
no_mond_claim,explicit_no_go
no_lambdacdm_refutation_claim,explicit_no_go
no_gravity_claim,explicit_no_go
no_spacetime_claim,explicit_no_go
no_causality_claim,explicit_no_go
