row_id,log10_gbar_m_per_s2,e_log10_gbar,log10_gobs_m_per_s2,e_log10_gobs,gbar_m_per_s2,gobs_m_per_s2,source_table,claim_boundary
1,-11.23,0.04,-10.68,0.08,5.8884365535558838e-12,2.0892961308540409e-11,RAR.mrt,direct_standard_rar_table_only
2,-11.13,0.04,-10.59,0.07,7.4131024130091626e-12,2.5703957827688646e-11,RAR.mrt,direct_standard_rar_table_only
3,-11.19,0.04,-10.58,0.07,6.4565422903465627e-12,2.6302679918953815e-11,RAR.mrt,direct_standard_rar_table_only
4,-11.29,0.04,-10.59,0.06,5.128613839913659e-12,2.5703957827688646e-11,RAR.mrt,direct_standard_rar_table_only
5,-11.43,0.04,-10.65,0.07,3.7153522909717275e-12,2.2387211385683377e-11,RAR.mrt,direct_standard_rar_table_only
6,-11.6,0.04,-10.7,0.07,2.5118864315095823e-12,1.9952623149688828e-11,RAR.mrt,direct_standard_rar_table_only
7,-11.76,0.04,-10.79,0.06,1.7378008287493763e-12,1.6218100973589331e-11,RAR.mrt,direct_standard_rar_table_only
8,-11.13,0.11,-10.4,0.19,7.4131024130091626e-12,3.9810717055349695e-11,RAR.mrt,direct_standard_rar_table_only
9,-11.16,0.12,-10.38,0.19,6.9183097091893623e-12,4.1686938347033464e-11,RAR.mrt,direct_standard_rar_table_only
10,-11.21,0.11,-10.39,0.18,6.1659500186148099e-12,4.0738027780411218e-11,RAR.mrt,direct_standard_rar_table_only
11,-11.24,0.1,-10.44,0.18,5.7543993733715668e-12,3.6307805477010174e-11,RAR.mrt,direct_standard_rar_table_only
12,-11.31,0.09,-10.48,0.18,4.8977881936844567e-12,3.311311214825908e-11,RAR.mrt,direct_standard_rar_table_only
13,-11.33,0.08,-10.51,0.18,4.6773514128719809e-12,3.0902954325135919e-11,RAR.mrt,direct_standard_rar_table_only
14,-11.34,0.07,-10.55,0.18,4.5708818961487516e-12,2.8183829312644493e-11,RAR.mrt,direct_standard_rar_table_only
15,-11.41,0.07,-10.58,0.18,3.8904514499428045e-12,2.6302679918953815e-11,RAR.mrt,direct_standard_rar_table_only
16,-11.41,0.06,-10.62,0.18,3.8904514499428045e-12,2.3988329190194948e-11,RAR.mrt,direct_standard_rar_table_only
17,-11.43,0.05,-10.65,0.18,3.7153522909717275e-12,2.2387211385683377e-11,RAR.mrt,direct_standard_rar_table_only
18,-11.45,0.05,-10.67,0.18,3.5481338923357604e-12,2.1379620895022323e-11,RAR.mrt,direct_standard_rar_table_only
19,-11.43,0.04,-10.69,0.18,3.7153522909717275e-12,2.0417379446695317e-11,RAR.mrt,direct_standard_rar_table_only
20,-11.39,0.04,-10.7,0.18,4.0738027780411221e-12,1.9952623149688828e-11,RAR.mrt,direct_standard_rar_table_only
21,-11.37,0.04,-10.7,0.18,4.2657951880159344e-12,1.9952623149688828e-11,RAR.mrt,direct_standard_rar_table_only
22,-11.35,0.04,-10.69,0.18,4.4668359215096347e-12,2.0417379446695317e-11,RAR.mrt,direct_standard_rar_table_only
23,-11.35,0.04,-10.69,0.18,4.4668359215096347e-12,2.0417379446695317e-11,RAR.mrt,direct_standard_rar_table_only
24,-11.29,0.09,-10.52,0.15,5.128613839913659e-12,3.019951720402019e-11,RAR.mrt,direct_standard_rar_table_only
25,-11.28,0.08,-10.47,0.15,5.2480746024977338e-12,3.3884415613920202e-11,RAR.mrt,direct_standard_rar_table_only
26,-11.33,0.08,-10.52,0.14,4.6773514128719809e-12,3.019951720402019e-11,RAR.mrt,direct_standard_rar_table_only
27,-11.38,0.08,-10.54,0.15,4.1686938347033462e-12,2.8840315031266117e-11,RAR.mrt,direct_standard_rar_table_only
28,-11.39,0.08,-10.58,0.15,4.0738027780411221e-12,2.6302679918953815e-11,RAR.mrt,direct_standard_rar_table_only
29,-11.41,0.07,-10.61,0.15,3.8904514499428045e-12,2.4547089156850335e-11,RAR.mrt,direct_standard_rar_table_only
30,-11.38,0.07,-10.64,0.14,4.1686938347033462e-12,2.2908676527677699e-11,RAR.mrt,direct_standard_rar_table_only
31,-11.37,0.06,-10.66,0.14,4.2657951880159344e-12,2.1877616239495519e-11,RAR.mrt,direct_standard_rar_table_only
32,-11.34,0.05,-10.69,0.14,4.5708818961487516e-12,2.0417379446695317e-11,RAR.mrt,direct_standard_rar_table_only
33,-11.34,0.05,-10.71,0.14,4.5708818961487516e-12,1.9498445997580414e-11,RAR.mrt,direct_standard_rar_table_only
34,-11.37,0.04,-10.73,0.14,4.2657951880159344e-12,1.8620871366628657e-11,RAR.mrt,direct_standard_rar_table_only
35,-11.37,0.04,-10.76,0.14,4.2657951880159344e-12,1.7378008287493762e-11,RAR.mrt,direct_standard_rar_table_only
36,-11.39,0.04,-10.79,0.14,4.0738027780411221e-12,1.6218100973589331e-11,RAR.mrt,direct_standard_rar_table_only
37,-10.27,0.09,-9.53,0.08,5.3703179637025328e-11,2.9512092266663898e-10,RAR.mrt,direct_standard_rar_table_only
38,-10.3,0.09,-9.65,0.08,5.0118723362727148e-11,2.2387211385683377e-10,RAR.mrt,direct_standard_rar_table_only
39,-10.34,0.1,-9.71,0.07,4.5708818961487517e-11,1.9498445997580414e-10,RAR.mrt,direct_standard_rar_table_only
40,-10.34,0.1,-9.75,0.07,4.5708818961487517e-11,1.7782794100389229e-10,RAR.mrt,direct_standard_rar_table_only
41,-10.36,0.11,-9.79,0.06,4.3651583224016655e-11,1.6218100973589331e-10,RAR.mrt,direct_standard_rar_table_only
42,-10.39,0.11,-9.82,0.06,4.0738027780411218e-11,1.5135612484362072e-10,RAR.mrt,direct_standard_rar_table_only
43,-10.42,0.1,-9.88,0.06,3.8018939632056128e-11,1.3182567385564046e-10,RAR.mrt,direct_standard_rar_table_only
44,-10.45,0.1,-9.92,0.06,3.5481338923357607e-11,1.2022644346174132e-10,RAR.mrt,direct_standard_rar_table_only
45,-10.47,0.09,-9.95,0.06,3.3884415613920202e-11,1.1220184543019652e-10,RAR.mrt,direct_standard_rar_table_only
46,-10.51,0.09,-9.97,0.06,3.0902954325135919e-11,1.0715193052376048e-10,RAR.mrt,direct_standard_rar_table_only
47,-10.55,0.09,-10.01,0.06,2.8183829312644493e-11,9.772372209558111e-11,RAR.mrt,direct_standard_rar_table_only
48,-10.6,0.09,-10.04,0.06,2.5118864315095823e-11,9.1201083935591153e-11,RAR.mrt,direct_standard_rar_table_only
49,-10.65,0.09,-10.05,0.06,2.2387211385683377e-11,8.912509381337441e-11,RAR.mrt,direct_standard_rar_table_only
50,-10.7,0.09,-10.12,0.07,1.9952623149688828e-11,7.5857757502918511e-11,RAR.mrt,direct_standard_rar_table_only
51,-10.74,0.09,-10.15,0.06,1.8197008586099825e-11,7.0794578438413739e-11,RAR.mrt,direct_standard_rar_table_only
52,-10.77,0.08,-10.15,0.06,1.6982436524617461e-11,7.0794578438413739e-11,RAR.mrt,direct_standard_rar_table_only
53,-10.79,0.08,-10.17,0.06,1.6218100973589331e-11,6.7608297539198192e-11,RAR.mrt,direct_standard_rar_table_only
54,-10.82,0.08,-10.2,0.06,1.5135612484362072e-11,6.3095734448019425e-11,RAR.mrt,direct_standard_rar_table_only
55,-10.87,0.08,-10.24,0.06,1.348962882591656e-11,5.7543993733715666e-11,RAR.mrt,direct_standard_rar_table_only
56,-10.91,0.08,-10.28,0.07,1.2302687708123811e-11,5.2480746024977339e-11,RAR.mrt,direct_standard_rar_table_only
57,-10.94,0.08,-10.3,0.08,1.148153621496884e-11,5.0118723362727148e-11,RAR.mrt,direct_standard_rar_table_only
58,-10.98,0.07,-10.34,0.09,1.0471285480508986e-11,4.5708818961487517e-11,RAR.mrt,direct_standard_rar_table_only
59,-11.01,0.07,-10.39,0.07,9.7723722095581123e-12,4.0738027780411218e-11,RAR.mrt,direct_standard_rar_table_only
60,-11.03,0.07,-10.39,0.08,9.3325430079699234e-12,4.0738027780411218e-11,RAR.mrt,direct_standard_rar_table_only
61,-11.04,0.07,-10.41,0.07,9.1201083935591156e-12,3.8904514499428045e-11,RAR.mrt,direct_standard_rar_table_only
62,-11.06,0.07,-10.44,0.06,8.7096358995607959e-12,3.6307805477010174e-11,RAR.mrt,direct_standard_rar_table_only
63,-11.06,0.06,-10.47,0.06,8.7096358995607959e-12,3.3884415613920202e-11,RAR.mrt,direct_standard_rar_table_only
64,-11.05,0.06,-10.48,0.06,8.912509381337441e-12,3.311311214825908e-11,RAR.mrt,direct_standard_rar_table_only
65,-8.68,0.1,-8.57,0.18,2.089296130854041e-09,2.6915348039269138e-09,RAR.mrt,direct_standard_rar_table_only
66,-8.72,0.1,-8.59,0.18,1.9054607179632444e-09,2.5703957827688646e-09,RAR.mrt,direct_standard_rar_table_only
67,-8.75,0.1,-8.61,0.18,1.7782794100389228e-09,2.4547089156850337e-09,RAR.mrt,direct_standard_rar_table_only
68,-8.77,0.1,-8.62,0.18,1.698243652461746e-09,2.3988329190194947e-09,RAR.mrt,direct_standard_rar_table_only
69,-8.79,0.09,-8.64,0.18,1.6218100973589331e-09,2.29086765276777e-09,RAR.mrt,direct_standard_rar_table_only
70,-8.81,0.09,-8.66,0.18,1.5488166189124797e-09,2.1877616239495518e-09,RAR.mrt,direct_standard_rar_table_only
71,-8.84,0.09,-8.68,0.18,1.445439770745928e-09,2.089296130854041e-09,RAR.mrt,direct_standard_rar_table_only
72,-8.86,0.09,-8.7,0.18,1.3803842646028867e-09,1.9952623149688828e-09,RAR.mrt,direct_standard_rar_table_only
73,-8.89,0.09,-8.72,0.18,1.2882495516931322e-09,1.9054607179632444e-09,RAR.mrt,direct_standard_rar_table_only
74,-8.91,0.09,-8.74,0.18,1.2302687708123811e-09,1.8197008586099825e-09,RAR.mrt,direct_standard_rar_table_only
75,-8.93,0.09,-8.77,0.18,1.1748975549395303e-09,1.698243652461746e-09,RAR.mrt,direct_standard_rar_table_only
76,-8.95,0.09,-8.79,0.18,1.1220184543019653e-09,1.6218100973589331e-09,RAR.mrt,direct_standard_rar_table_only
77,-8.98,0.08,-8.81,0.18,1.0471285480508984e-09,1.5488166189124797e-09,RAR.mrt,direct_standard_rar_table_only
78,-9.0,0.08,-8.83,0.18,1.0000000000000001e-09,1.4791083881682072e-09,RAR.mrt,direct_standard_rar_table_only
79,-9.02,0.08,-8.85,0.18,9.5499258602143681e-10,1.4125375446227555e-09,RAR.mrt,direct_standard_rar_table_only
80,-9.04,0.08,-8.87,0.18,9.1201083935591153e-10,1.348962882591656e-09,RAR.mrt,direct_standard_rar_table_only
81,-9.06,0.08,-8.9,0.18,8.7096358995607963e-10,1.2589254117941663e-09,RAR.mrt,direct_standard_rar_table_only
82,-9.07,0.08,-8.92,0.18,8.5113803820237593e-10,1.2022644346174132e-09,RAR.mrt,direct_standard_rar_table_only
83,-9.09,0.08,-8.93,0.19,8.1283051616409954e-10,1.1748975549395303e-09,RAR.mrt,direct_standard_rar_table_only
84,-9.11,0.08,-8.95,0.18,7.7624711662869273e-10,1.1220184543019653e-09,RAR.mrt,direct_standard_rar_table_only
85,-9.11,0.08,-8.96,0.18,7.7624711662869273e-10,1.0964781961431829e-09,RAR.mrt,direct_standard_rar_table_only
86,-9.12,0.08,-8.97,0.18,7.5857757502918514e-10,1.0715193052376049e-09,RAR.mrt,direct_standard_rar_table_only
87,-9.14,0.08,-8.98,0.18,7.2443596007498912e-10,1.0471285480508984e-09,RAR.mrt,direct_standard_rar_table_only
88,-9.15,0.08,-9.0,0.18,7.0794578438413732e-10,1.0000000000000001e-09,RAR.mrt,direct_standard_rar_table_only
89,-9.16,0.08,-9.01,0.18,6.918309709189363e-10,9.7723722095581118e-10,RAR.mrt,direct_standard_rar_table_only
90,-9.19,0.08,-9.04,0.18,6.456542290346563e-10,9.1201083935591153e-10,RAR.mrt,direct_standard_rar_table_only
91,-9.23,0.08,-9.08,0.19,5.8884365535558835e-10,8.3176377110267092e-10,RAR.mrt,direct_standard_rar_table_only
92,-9.3,0.08,-9.13,0.19,5.0118723362727143e-10,7.4131024130091618e-10,RAR.mrt,direct_standard_rar_table_only
93,-9.31,0.08,-9.14,0.19,4.8977881936844559e-10,7.2443596007498912e-10,RAR.mrt,direct_standard_rar_table_only
94,-9.33,0.08,-9.16,0.19,4.6773514128719813e-10,6.918309709189363e-10,RAR.mrt,direct_standard_rar_table_only
95,-9.34,0.08,-9.17,0.18,4.5708818961487517e-10,6.7608297539198189e-10,RAR.mrt,direct_standard_rar_table_only
96,-9.35,0.08,-9.17,0.18,4.4668359215096347e-10,6.7608297539198189e-10,RAR.mrt,direct_standard_rar_table_only
97,-9.37,0.08,-9.2,0.18,4.2657951880159342e-10,6.3095734448019425e-10,RAR.mrt,direct_standard_rar_table_only
98,-9.38,0.08,-9.2,0.18,4.1686938347033463e-10,6.3095734448019425e-10,RAR.mrt,direct_standard_rar_table_only
99,-9.39,0.08,-9.21,0.18,4.0738027780411222e-10,6.1659500186148092e-10,RAR.mrt,direct_standard_rar_table_only
100,-9.41,0.08,-9.23,0.18,3.8904514499428046e-10,5.8884365535558835e-10,RAR.mrt,direct_standard_rar_table_only
101,-9.44,0.08,-9.26,0.18,3.6307805477010177e-10,5.4954087385762482e-10,RAR.mrt,direct_standard_rar_table_only
102,-9.45,0.08,-9.26,0.18,3.5481338923357605e-10,5.4954087385762482e-10,RAR.mrt,direct_standard_rar_table_only
103,-9.45,0.08,-9.27,0.18,3.5481338923357605e-10,5.3703179637025321e-10,RAR.mrt,direct_standard_rar_table_only
104,-9.46,0.08,-9.28,0.18,3.4673685045253098e-10,5.2480746024977342e-10,RAR.mrt,direct_standard_rar_table_only
105,-9.47,0.08,-9.28,0.18,3.3884415613920202e-10,5.2480746024977342e-10,RAR.mrt,direct_standard_rar_table_only
106,-9.49,0.08,-9.3,0.18,3.2359365692962813e-10,5.0118723362727143e-10,RAR.mrt,direct_standard_rar_table_only
107,-9.5,0.08,-9.3,0.19,3.1622776601683795e-10,5.0118723362727143e-10,RAR.mrt,direct_standard_rar_table_only
108,-9.51,0.08,-9.31,0.19,3.0902954325135922e-10,4.8977881936844559e-10,RAR.mrt,direct_standard_rar_table_only
109,-9.52,0.08,-9.32,0.19,3.0199517204020193e-10,4.7863009232263798e-10,RAR.mrt,direct_standard_rar_table_only
110,-9.53,0.08,-9.33,0.18,2.9512092266663898e-10,4.6773514128719813e-10,RAR.mrt,direct_standard_rar_table_only
111,-9.54,0.08,-9.34,0.18,2.8840315031266117e-10,4.5708818961487517e-10,RAR.mrt,direct_standard_rar_table_only
112,-9.55,0.08,-9.35,0.18,2.8183829312644494e-10,4.4668359215096347e-10,RAR.mrt,direct_standard_rar_table_only
113,-9.56,0.08,-9.36,0.18,2.7542287033381632e-10,4.3651583224016655e-10,RAR.mrt,direct_standard_rar_table_only
114,-9.56,0.08,-9.36,0.18,2.7542287033381632e-10,4.3651583224016655e-10,RAR.mrt,direct_standard_rar_table_only
115,-9.57,0.08,-9.37,0.19,2.6915348039269137e-10,4.2657951880159342e-10,RAR.mrt,direct_standard_rar_table_only
116,-9.58,0.08,-9.37,0.18,2.6302679918953814e-10,4.2657951880159342e-10,RAR.mrt,direct_standard_rar_table_only
117,-9.58,0.08,-9.38,0.19,2.6302679918953814e-10,4.1686938347033463e-10,RAR.mrt,direct_standard_rar_table_only
118,-9.59,0.08,-9.38,0.18,2.5703957827688648e-10,4.1686938347033463e-10,RAR.mrt,direct_standard_rar_table_only
119,-9.6,0.08,-9.39,0.19,2.511886431509582e-10,4.0738027780411222e-10,RAR.mrt,direct_standard_rar_table_only
120,-9.63,0.08,-9.41,0.18,2.3442288153199181e-10,3.8904514499428046e-10,RAR.mrt,direct_standard_rar_table_only
121,-9.64,0.08,-9.42,0.18,2.2908676527677701e-10,3.8018939632056128e-10,RAR.mrt,direct_standard_rar_table_only
122,-9.65,0.08,-9.42,0.19,2.2387211385683377e-10,3.8018939632056128e-10,RAR.mrt,direct_standard_rar_table_only
123,-9.69,0.08,-9.44,0.18,2.0417379446695316e-10,3.6307805477010177e-10,RAR.mrt,direct_standard_rar_table_only
124,-9.8,0.08,-9.48,0.18,1.5848931924611109e-10,3.3113112148259076e-10,RAR.mrt,direct_standard_rar_table_only
125,-9.91,0.08,-9.51,0.18,1.2302687708123812e-10,3.0902954325135922e-10,RAR.mrt,direct_standard_rar_table_only
126,-11.4,0.06,-10.66,0.2,3.9810717055349695e-12,2.1877616239495519e-11,RAR.mrt,direct_standard_rar_table_only
127,-11.34,0.04,-10.71,0.2,4.5708818961487516e-12,1.9498445997580414e-11,RAR.mrt,direct_standard_rar_table_only
128,-11.33,0.04,-10.74,0.2,4.6773514128719809e-12,1.8197008586099825e-11,RAR.mrt,direct_standard_rar_table_only
129,-11.45,0.04,-10.79,0.2,3.5481338923357604e-12,1.6218100973589331e-11,RAR.mrt,direct_standard_rar_table_only
130,-11.54,0.04,-10.84,0.2,2.8840315031266117e-12,1.445439770745928e-11,RAR.mrt,direct_standard_rar_table_only
131,-10.59,0.1,-10.4,0.3,2.5703957827688646e-11,3.9810717055349695e-11,RAR.mrt,direct_standard_rar_table_only
132,-10.64,0.1,-10.55,0.29,2.2908676527677699e-11,2.8183829312644493e-11,RAR.mrt,direct_standard_rar_table_only
133,-10.73,0.08,-10.61,0.29,1.8620871366628657e-11,2.4547089156850335e-11,RAR.mrt,direct_standard_rar_table_only
134,-10.89,0.08,-10.66,0.29,1.2882495516931322e-11,2.1877616239495519e-11,RAR.mrt,direct_standard_rar_table_only
135,-9.78,0.11,-9.96,0.09,1.6595869074375631e-10,1.0964781961431829e-10,RAR.mrt,direct_standard_rar_table_only
136,-9.76,0.11,-9.94,0.09,1.7378008287493763e-10,1.1481536214968841e-10,RAR.mrt,direct_standard_rar_table_only
137,-9.78,0.11,-9.78,0.1,1.6595869074375631e-10,1.6595869074375631e-10,RAR.mrt,direct_standard_rar_table_only
138,-9.81,0.11,-9.71,0.08,1.5488166189124796e-10,1.9498445997580414e-10,RAR.mrt,direct_standard_rar_table_only
139,-9.84,0.11,-9.7,0.08,1.4454397707459281e-10,1.9952623149688828e-10,RAR.mrt,direct_standard_rar_table_only
140,-9.87,0.11,-9.66,0.08,1.3489628825916561e-10,2.1877616239495518e-10,RAR.mrt,direct_standard_rar_table_only
141,-9.89,0.11,-9.61,0.08,1.2882495516931322e-10,2.4547089156850336e-10,RAR.mrt,direct_standard_rar_table_only
142,-9.88,0.11,-9.64,0.08,1.3182567385564046e-10,2.2908676527677701e-10,RAR.mrt,direct_standard_rar_table_only
143,-9.86,0.11,-9.7,0.09,1.3803842646028866e-10,1.9952623149688828e-10,RAR.mrt,direct_standard_rar_table_only
144,-9.81,0.11,-9.74,0.07,1.5488166189124796e-10,1.8197008586099825e-10,RAR.mrt,direct_standard_rar_table_only
145,-9.78,0.11,-9.69,0.07,1.6595869074375631e-10,2.0417379446695316e-10,RAR.mrt,direct_standard_rar_table_only
146,-9.77,0.11,-9.69,0.07,1.6982436524617461e-10,2.0417379446695316e-10,RAR.mrt,direct_standard_rar_table_only
147,-9.8,0.11,-9.66,0.07,1.5848931924611109e-10,2.1877616239495518e-10,RAR.mrt,direct_standard_rar_table_only
148,-9.81,0.11,-9.67,0.07,1.5488166189124796e-10,2.1379620895022325e-10,RAR.mrt,direct_standard_rar_table_only
149,-9.82,0.11,-9.67,0.07,1.5135612484362072e-10,2.1379620895022325e-10,RAR.mrt,direct_standard_rar_table_only
150,-9.83,0.11,-9.69,0.07,1.4791083881682071e-10,2.0417379446695316e-10,RAR.mrt,direct_standard_rar_table_only
151,-9.84,0.11,-9.66,0.07,1.4454397707459281e-10,2.1877616239495518e-10,RAR.mrt,direct_standard_rar_table_only
152,-9.85,0.11,-9.69,0.07,1.4125375446227556e-10,2.0417379446695316e-10,RAR.mrt,direct_standard_rar_table_only
153,-9.86,0.11,-9.71,0.09,1.3803842646028866e-10,1.9498445997580414e-10,RAR.mrt,direct_standard_rar_table_only
154,-9.88,0.11,-9.71,0.07,1.3182567385564046e-10,1.9498445997580414e-10,RAR.mrt,direct_standard_rar_table_only
155,-9.92,0.11,-9.74,0.07,1.2022644346174132e-10,1.8197008586099825e-10,RAR.mrt,direct_standard_rar_table_only
156,-10.01,0.11,-9.78,0.07,9.772372209558111e-11,1.6595869074375631e-10,RAR.mrt,direct_standard_rar_table_only
157,-10.05,0.11,-9.83,0.07,8.912509381337441e-11,1.4791083881682071e-10,RAR.mrt,direct_standard_rar_table_only
158,-10.08,0.11,-9.84,0.07,8.3176377110267092e-11,1.4454397707459281e-10,RAR.mrt,direct_standard_rar_table_only
159,-10.12,0.1,-9.87,0.07,7.5857757502918511e-11,1.3489628825916561e-10,RAR.mrt,direct_standard_rar_table_only
