row_id,galaxy_id,radius_kpc,vobs_km_s,vgas_km_s,vdisk_km_s_ml1,vbul_km_s_ml1,gobs_m_per_s2,log10_gobs,vbar_ml1_km_s_preparatory,gbar_status,mass_to_light_assumption_required,claim_boundary
1,It does not,syste,atic u,nties,ue to,nclina,,,,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
2,CamB,0.16,1.99,1.86,3.75,0.00,8.0211312900803933e-13,-12.09576437505865,4.1859407544780183,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
3,CamB,0.41,4.84,4.24,9.47,0.00,1.8516390078733638e-12,-11.732443678653048,10.375861410022784,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
4,CamB,0.57,6.79,5.61,11.76,0.00,2.6212844287451225e-12,-11.581485852333627,13.029570215475259,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
5,CamB,0.73,8.87,6.77,13.72,0.00,3.4928009325710322e-12,-11.456826165679141,15.299388876683931,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
6,CamB,0.90,10.90,7.77,14.80,0.00,4.2781887486542782e-12,-11.368740058780215,16.715648357153245,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
7,CamB,1.06,12.90,8.44,15.24,0.00,5.087717750532422e-12,-11.293476989888411,17.420998823259247,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
8,CamB,1.22,14.70,8.64,15.11,0.00,5.7401639070166624e-12,-11.241075706400535,17.405795012006777,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
9,CamB,1.47,16.80,8.08,15.90,0.00,6.2222962357331811e-12,-11.206049316518589,17.835257217096704,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
10,CamB,1.79,20.10,6.91,14.91,0.00,7.3145655906615532e-12,-11.135811461361055,16.433386747715762,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
11,D512-2,0.96,22.90,4.08,14.85,0.00,1.7703094449765826e-11,-10.751950813581931,15.400288958328021,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
12,D512-2,1.92,33.50,6.24,21.20,0.00,1.8942523737390306e-11,-10.722562159851998,22.099266956168478,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
13,D512-2,2.88,37.20,7.45,20.56,0.00,1.5571944485780176e-11,-10.807657153217574,21.86815264259878,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
