detected_column,matched_expected_column,sparc_relevance,presence_status,claim_boundary
D,D,candidate_match,present,column_profile_only
e_D,,unknown,present,column_profile_only
e_gbar,,unknown,present,column_profile_only
e_gobs,,unknown,present,column_profile_only
e_Inc,,unknown,present,column_profile_only
e_L[3.6],,unknown,present,column_profile_only
e_Vflat,,unknown,present,column_profile_only
e_Vobs,e_Vobs,candidate_match,present,column_profile_only
f_D,,unknown,present,column_profile_only
Galaxy,Galaxy,candidate_match,present,column_profile_only
gbar,gbar,candidate_match,present,column_profile_only
gobs,gobs,candidate_match,present,column_profile_only
ID,,unknown,present,column_profile_only
Inc,Inc,candidate_match,present,column_profile_only
L[3.6],,unknown,present,column_profile_only
MHI,MHI,candidate_match,present,column_profile_only
N,,unknown,present,column_profile_only
Q,,unknown,present,column_profile_only
R,R,candidate_match,present,column_profile_only
Rdisk,,unknown,present,column_profile_only
Ref.,,unknown,present,column_profile_only
Reff,,unknown,present,column_profile_only
RHI,,unknown,present,column_profile_only
SBbul,SBbul,candidate_match,present,column_profile_only
SBdisk,SBdisk,candidate_match,present,column_profile_only
SBeff,,unknown,present,column_profile_only
sd,,unknown,present,column_profile_only
T,,unknown,present,column_profile_only
Vbul,Vbul,candidate_match,present,column_profile_only
Vdisk,Vdisk,candidate_match,present,column_profile_only
Vflat,,unknown,present,column_profile_only
Vgas,Vgas,candidate_match,present,column_profile_only
Vobs,Vobs,candidate_match,present,column_profile_only
