expected_column_or_synonym,presence_status,matched_detected_column
Name,missing_from_local_input,
Galaxy,present,Galaxy
R,present,R
Rad,missing_from_local_input,
Radius,missing_from_local_input,
Vobs,present,Vobs
e_Vobs,present,e_Vobs
Vgas,present,Vgas
Vdisk,present,Vdisk
Vbul,present,Vbul
SBdisk,present,SBdisk
SBbul,present,SBbul
Lum,missing_from_local_input,
MHI,present,MHI
gobs,present,gobs
gbar,present,gbar
gdag,missing_from_local_input,
loggobs,missing_from_local_input,
loggbar,missing_from_local_input,
D,present,D
Dist,missing_from_local_input,
Inc,present,Inc
L,missing_from_local_input,
Mstar,missing_from_local_input,
Mgas,missing_from_local_input,
